Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;N-Z;ame_ME;ame_ME_unc;ame_BE/A;ame_BE/A_unc;ame_BDE;ame_BDE_unc;ame_AM;ame_AM_unc;ame_BE;ame_S2p;ame_S1p;ame_S2n;ame_S1n;Difference_BE_DZ_AME;Surf;Asym;Coul;Pair;Z_parity;N_parity;ldm_BE;Z_distance;N_distance
2;5;3.9691329;27.1510296;7;27.7839303;-1.7761101600000018;14.992926120000003;22.61301994;1.253535750000001;3;26.073128;7.559;4.1230578;1.0799;11166.0229;7.5595;7.027990652;8.115;28.861404599999997;-26.9995954;23.091567599999998;1.3007420999999995;-0.4097148000000052;1.077474299999995;3.6593057100229713;1.2857142857142858;1.0455159171494206;0.37796447300922725;1;-1;14.713580879193923;0;3
2;6;3.98750067;31.1063309;8;31.90000536;4.11607506;18.884055770000003;30.2992353048;2.3399648999999982;4;31.609683;0.089;3.9245210000000004;0.0111;10663.8784;0.1005;8.033934388;0.095;31.396168000000003;-41.6347595;24.816168;2.125048599999998;2.5347634000000037;-0.5038373599999986;3.9999999999999996;2.0;1.0;0.3535533905932738;1;1;7.733000000000011;0;2
2;7;3.41870356;40.3093796;9;30.76833204;-1.1316733200000009;15.262053080000001;24.614685688;2.984401739999999;5;40.935826;46.816;3.349038;5.2018;15980.9213;46.8169;9.043946414;50.259;30.141342;-67.1895012;-63.745668099999996;1.2799374000000026;-1.2548260000000009;-0.626990039999999;4.3267487109222245;2.7777777777777777;0.9614997135382722;0.3333333333333333;1;-1;-0.4906011450816692;0;1
2;8;3.02622509;48.8868408;10;30.2622509;-0.5060811399999992;19.856210150000003;25.042781828000003;-1.63775446;6;49.197146999999994;92.848;2.995134;9.2848;16144.5191;93.7152;10.052815306;99.676;29.951340000000002;-81.6885768;-82.17714480000001;-1.4448280000000013;-0.19000200000000042;-0.31091089999999966;4.641588833612778;3.6;0.9283177667225557;0.31622776601683794;1;1;-9.547613086553795;0;0
3;0;2.7587204;13.590929;3;8.2761612;4.912444000000001;-45.136577599999995;-303.3527758;-0.06463798899999951;-3;28.667;2000.0;-2.267;667.0;0.0;0.0;3.030775;2147.0;-6.801;;-6.801;-36.942342000000004;-36.75234;-15.0771612;2.080083823051904;3.0;4.160167646103808;0.5773502691896257;-1;1;-62.12448112051867;1;2
3;1;3.51046538;15.8966074;4;14.04186152;5.765700319999999;-1.2906709000000003;10.196783759999999;10.67814432;-2;25.32319;212.132;1.1537602999999998;53.033;0.0;0.0;4.027185561;227.733;4.615041199999999;2.3904749999999995;-3.103000120000001;-25.3362988;11.4160412;-9.426820320000001;2.5198420997897464;1.0;3.77976314968462;0.5;-1;-1;-7.376374294707514;1;1
3;2;5.08167171;12.6014919;5;25.408358550000003;11.366497030000003;-0.7801275299999979;9.677224140000003;17.132197350000002;-1;11.678887000000001;50.0;5.266132499999999;10.0;-25460.0;2003.0;5.0125378;53.677;26.3306625;17.848866299999997;-1.9649999000000025;33.1316625;21.7156213;0.9223039499999963;2.924017738212866;0.2;3.5088212858554395;0.4472135954999579;-1;1;19.96652593435108;1;0
3;3;5.42123413;13.5538254;6;32.52740478;7.119046229999995;5.997010229999997;16.833611499999996;18.48554326;0;14.086880440000002;0.00144;5.3323312;0.0003;-4288.1534;5.4478;6.01512288742;0.00155;31.993987199999996;25.112190799999997;4.433324699999997;27.378945999999996;5.663324699999998;-0.5334175800000018;3.3019272488946263;0.0;3.3019272488946267;0.408248290463863;-1;-1;33.74635020906603;1;1
3;4;5.64216375;14.6574631;7;39.49514625;6.96774147;9.935105789999994;26.403465249999996;14.086787699999995;1;14.90710463;0.00419;5.6064400999999995;0.0006;-861.893;0.0707;7.01600343426;0.0045;39.245080699999995;32.5632847;9.973961299999996;12.9144182;7.251093500000002;-0.2500655500000022;3.6593057100229713;0.14285714285714285;3.1365477514482616;0.37796447300922725;-1;1;39.8675602621162;1;2
3;5;5.09164381;21.4908409;8;40.73315048;1.2380042300000014;12.949220179999998;27.9421463;8.205745700000001;2;20.945805;0.047;5.1597124;0.0059;16004.1329;0.0591;8.022486244;0.05;41.2776992;35.507862200000005;12.416294600000004;9.283712000000007;2.0326185000000043;0.5445487200000017;3.9999999999999996;0.5;3.0;0.3535533905932738;-1;-1;41.266500000000015;1;3
3;6;5.11422443;24.2673454;9;46.02801987;5.294869390000002;14.12801451;33.01207028;6.532873620000004;3;24.954905;0.186;5.0377685;0.0207;13606.4541;0.2014;9.026790191;0.2;45.3399165;38.7599165;13.943748499999998;6.094835800000001;4.062217299999997;-0.6881033700000003;4.3267487109222245;1.0;2.8844991406148166;0.3333333333333333;-1;1;39.564623809801546;1;2
3;7;4.70084715;31.3582726;10;47.008471500000006;0.9804516300000046;16.240139460000005;31.502192540000006;6.275321020000007;4;33.052628;12.721;4.5313512000000005;1.2721;20445.1411;12.7216;10.035483453;13.656;45.313512;-48.573498099999995;15.172170000000001;4.0358127999999995;-0.026404499999996917;-1.694959500000003;4.641588833612778;1.6;2.7849533001676674;0.31622776601683794;-1;-1;35.728311946634975;1;1
3;8;4.28000259;39.3580971;11;47.08002849;0.0715569899999906;16.817777589999995;36.673987739999994;1.0520086199999952;5;40.728259;0.615;4.1553816999999995;0.0559;20551.0898;0.6591;11.043723581;0.66;45.7091987;-66.4192861;15.7578587;0.36928220000000145;0.3956866999999984;-1.3708297899999948;4.9460874432487;2.272727272727273;2.6978658781356555;0.30151134457776363;-1;1;30.3680462903098;1;0
3;9;3.77378011;49.224144;12;45.28536132;-1.7946671699999968;19.160106889999998;35.77318123;-1.7231101800000062;6;49.009577;30.006;3.7915999;2.5005;23931.8152;30.0669;12.052613942;32.213;45.499198799999995;-86.7378012;-87.4688012;0.18568679999999585;-0.20999990000000252;0.21383747999999514;5.241482788417793;3.0;2.6207413942088964;0.28867513459481287;-1;-1;23.88759480379781;1;1
3;10;3.30170178;59.6587639;13;42.922123140000004;-2.363238179999996;18.969410100000005;39.704483275;-4.157905349999993;7;56.980895;70.003;3.5076307;5.3848;23321.8152;70.7391;13.061171503;75.15;45.59919910000001;-105.1428009;-102.3608009;-0.10999959999999555;0.10000030000000697;2.6770759600000034;5.528774813678871;3.769230769230769;2.5517422216979413;0.2773500981126146;-1;1;16.564107170251134;1;2
4;1;1.89266491;27.7641754;5;9.46332455;8.581776137499999;-4.57853697;-5.86920787;1.0844819659999985;-3;37.139;2003.0;0.018;401.0;0.0;0.0;5.03987;2150.0;0.09;-7.62804132;-4.5250411999999995;-45.4091988;-45.509199100000004;-9.37332455;2.924017738212866;1.8;7.017642571710879;0.4472135954999579;1;-1;-19.735122501890164;2;1
4;2;4.44675303;18.6183643;6;26.68051818;17.21719363;1.2721596299999973;0.4920320999999994;25.7989697675;-2;18.375034;5.448;4.4872478000000005;0.908;-28945.0;2003.0;6.019726409;5.848;26.9234868;-1.3721756000000023;0.5928243000000002;-18.675712300000008;26.8334868;0.2429686199999992;3.3019272488946263;0.6666666666666666;6.6038544977892535;0.408248290463863;1;1;15.921573583253142;2;0
4;3;5.40289307;15.5500069;7;37.820251490000004;11.139733310000004;5.292846710000006;11.289856940000004;28.356926940000005;-1;15.768998;0.071;5.3715487;0.0101;-11907.5551;25.1504;7.016928714;0.076;37.6008409;10.040178400000004;5.606853700000007;37.510840900000005;10.677354100000004;-0.21941059000000251;3.6593057100229713;0.14285714285714285;6.273095502896523;0.37796447300922725;1;-1;37.68138647935676;2;1
4;4;6.63648987;8.34972;8;53.09191896;15.271667469999997;13.596772710000003;23.531878499999998;26.41140078;0;4.941672;0.035;7.0624356;0.0044;-17979.8973;1.0005;8.005305102;0.037;56.4994848;27.228365399999994;17.2544041;29.575998;18.898643899999996;3.4075658399999966;3.9999999999999996;0.0;6.0;0.3535533905932738;1;1;50.81800000000001;2;2
4;5;6.23748016;13.3756943;9;56.137321439999994;3.045402479999993;15.404170959999995;28.353391139999992;18.31706994999999;1;11.348450999999999;0.076;6.4626693;0.0085;-1068.0349;0.8994;9.012183062;0.082;58.1640237;29.3026191;16.886324499999994;20.563182799999996;1.6645388999999995;2.0267022600000075;4.3267487109222245;0.1111111111111111;5.768998281229633;0.3333333333333333;1;-1;58.251905686570794;2;3
4;6;6.46598577;12.9245377;10;64.6598577;8.52253626000001;18.631837830000002;32.75985234;11.567938740000002;2;12.607486999999999;0.081;6.497630600000001;0.0081;556.8759;0.0822;10.013534692;0.086;64.97630600000001;33.580138000000005;19.636389500000003;8.476821200000005;6.812282300000006;0.3164483000000047;4.641588833612778;0.4;5.569906600335335;0.31622776601683794;1;1;61.72919949641811;2;2
4;7;6.00172424;19.6368103;11;66.01896664;1.3591089399999987;19.010495139999996;35.2506346;9.881645200000008;3;20.177169000000003;0.238;5.9525402000000005;0.0216;11509.4607;0.238;11.02166108;0.255;65.4779422;35.3366002;20.1644302;7.313918500000007;0.5016362000000009;-0.541024440000001;4.9460874432487;0.8181818181818182;5.395731756271311;0.30151134457776363;1;-1;62.356724682340165;2;1
4;8;5.78316689;24.329155;12;69.39800268;3.3790360400000026;22.317974190000008;39.13575178000001;4.738144980000001;4;25.077761;1.909;5.7207223;0.159;11708.3636;2.3214;12.026922082;2.048;68.6486676;38.6973276;22.9394689;3.6723615999999963;3.170725399999996;-0.7493350800000087;5.241482788417793;1.3333333333333333;5.241482788417793;0.28867513459481287;1;1;60.869271385367554;2;0
4;9;5.18930626;34.3375549;13;67.46098138;-1.9370212999999978;22.175620060000007;41.33572695000001;1.4420147400000047;5;33.65908;10.18;5.241435900000001;0.7831;17097.1315;10.2295;13.036134506;10.929;68.1386667;-64.8293333;22.639467900000003;2.6607244999999966;-0.5100008999999991;0.6776853199999948;5.528774813678871;1.9230769230769231;5.103484443395883;0.2773500981126146;1;-1;57.77323514941997;2;1
4;10;4.87522745;41.6167374;14;68.2531843;0.792202919999994;25.331061159999997;44.30047126;-1.1448183800000038;6;39.954502;132.245;4.9938972999999995;9.4461;16290.8166;133.9357;14.04289292;141.97;69.9145622;-78.0454378;24.315363099999995;1.2658945999999995;1.7758954999999987;1.661377900000005;5.808785733563703;2.5714285714285716;4.978959200197461;0.2672612419124244;1;1;53.42857296244548;2;2
4;11;4.37806225;52.2703629;15;65.67093375;-2.5822505499999977;24.70091053000001;45.97245326000001;-1.7900476300000037;7;49.825821000000005;165.797;4.5409708;11.0532;20868.4411;167.1256;15.053490215;177.99;68.114562;-101.73543799999999;-101.535438;-0.02410469999999623;-1.800000199999995;2.4436282500000033;6.082201995573399;3.2666666666666666;4.865761596458721;0.25819888974716115;1;-1;48.097890450205256;2;3
4;12;4.14083195;59.7593613;16;66.2533112;0.5823774499999956;27.610997749999996;47.98846054;-1.999873100000002;8;57.447139;165.797;4.2852851;10.3623;20335.4399;167.6075;16.061672036;177.99;68.5645616;-115.8714384;-113.4394384;-1.3500005999999993;0.44999959999999556;2.311250400000006;6.3496042078727974;4.0;4.762203155904598;0.25;1;1;41.97706389868621;2;4
5;1;1.08531487;38.0046425;6;6.51188922;3.6830636281999993;-2.95143533;-7.5299723;-1.1266931820000003;-4;47.32;2003.0;-0.467;334.0;0.0;0.0;6.0508;2150.0;-2.802;-7.4170412;-2.892;-70.916562;-71.3665616;-9.31388922;3.3019272488946263;2.6666666666666665;11.00642416298209;0.408248290463863;-1;-1;-33.717017473386264;3;1
5;2;3.21901846;30.0547848;7;22.53312922;16.02124;-4.147388960000001;-2.8752293300000034;19.704303628199998;-3;27.676553;25.15;3.5587055;3.5929;0.0;0.0;7.029712;27.0;24.9109385;-1.4197239999999984;-2.0125482999999984;-43.6536231;27.7129385;2.377809280000001;3.6593057100229713;1.2857142857142858;10.455159171494206;0.37796447300922725;-1;1;8.155059530915604;3;0
5;3;4.6037879;23.8289871;8;36.8303032;14.297173980000004;-0.989948290000001;4.302898420000005;30.318413980000003;-2;22.921568999999998;1.0;4.7171551;0.125;-12142.7002;18.2704;8.024607315;1.073;37.7372408;5.743253600000004;0.13639989999999672;40.5392408;12.8263023;0.9069375999999991;3.9999999999999996;0.5;10.0;0.3535533905932738;-1;-1;36.38750000000002;3;1
5;4;5.99656916;14.7615433;9;53.96912244;17.138819239999997;0.8772034799999986;14.473976190000002;31.43599322;-1;12.416486;0.903;6.2570713;0.1003;-16494.4854;2.3195;9.013329645;0.969;56.31364169999999;17.068560999999995;-0.1858431000000055;31.402703199999994;18.576400899999992;2.3445192599999913;4.3267487109222245;0.1111111111111111;9.614997135382723;0.3333333333333333;-1;1;55.57124448522609;3;2
5;5;6.46290731;12.1729736;10;64.6290731;10.65995066;8.491751660000006;23.89592262;27.798769899999996;0;12.050611;0.015;6.475083499999999;0.0015;-3648.0623;0.0687;10.012936862;0.016;64.750835;23.473135799999998;6.586811300000001;27.0135942;8.437193300000006;0.12176189999999565;4.641588833612778;0.0;9.283177667225557;0.31622776601683794;-1;-1;68.45504956279562;3;3
5;6;6.89515066;9.02677155;11;75.84665726;11.217584160000001;11.186799559999997;29.81863739;21.87753482;1;8.667708000000001;0.012;6.9277323;0.0011;-1981.6889;0.0608;11.009305166;0.013;76.2050553;30.865138799999993;11.228749299999988;19.8914136;11.454220299999994;0.3583980399999973;4.9460874432487;0.09090909090909091;8.992886260452185;0.30151134457776363;-1;1;76.78405344747155;3;2
5;7;6.63450575;13.3307419;12;79.614069;3.76741174;13.595102359999998;32.605597499999995;14.984995900000001;2;13.369397999999999;1.321;6.6312237;0.1101;13369.3979;1.3214;12.014352638;1.418;79.5746844;34.26117239999999;14.096742199999992;14.823849399999999;3.3696291000000054;-0.03938460000000532;5.241482788417793;0.3333333333333333;8.735804647362988;0.28867513459481287;-1;-1;81.71872904968275;3;1
5;8;6.52292347;16.2181854;13;84.79800511;5.183936110000005;15.40000243;37.71797662000001;8.951347850000005;3;16.561948;1.0;6.4964194;0.0769;13436.9387;1.0001;13.017779981;1.073;84.4534522;38.7442535;15.8047846;8.248396900000007;4.878767800000001;-0.34455291000000443;5.528774813678871;0.6923076923076923;8.505807405659803;0.2773500981126146;-1;1;84.06027758318356;3;0
5;9;6.09111118;23.8120117;14;85.27555652000001;0.4775514100000038;17.814575140000002;39.99019520000001;5.6614875200000085;4;23.663686000000002;21.213;6.1016451;1.5152;20643.7926;21.2133;14.02540401;22.773;85.4230314;39.9238326;17.28436469999999;5.848346999999994;0.9695791999999929;0.1474748799999901;5.808785733563703;1.1428571428571428;8.298265333662435;0.2672612419124244;-1;-1;84.3793023017061;3;1
5;10;5.81212187;29.9771194;15;87.18182805000001;1.906271529999998;18.928643750000006;44.25970491;2.3838229400000017;5;28.957379;21.029;5.8800438;1.4019;19084.2343;21.0442;15.031087023;22.575;88.200657;42.6014579;18.286094800000008;3.7472048000000067;2.777625600000014;1.0188289499999996;6.082201995573399;1.6666666666666667;8.109602660764535;0.25819888974716115;-1;1;83.09293322838411;3;2
5;11;5.43484879;38.2727509;16;86.95758064;-0.2242474100000038;21.28664689;45.98755742000001;1.6820241199999941;6;37.111699;24.566;5.5073535;1.5354;23417.5656;24.8254;16.039841045;26.373;88.117656;-81.532344;20.003093999999997;2.6946246000000103;-0.08300100000000384;1.1600753599999933;6.3496042078727974;2.25;7.937005259840997;0.25;-1;-1;80.51297683224253;3;3
5;12;5.17970181;45.2467651;17;88.05493077;1.0973501299999953;21.80161957;49.412617319999995;0.8731027199999915;7;43.716322;204.104;5.2696677;12.0061;22684.4422;204.841;17.046931399;219.114;89.5843509;-92.4196491;21.019789300000003;1.3836938999999984;1.4666949000000022;1.5294201300000054;6.611489018457944;2.8823529411764706;7.778222374656407;0.24253562503633297;-1;1;76.87703498153998;3;4
5;13;4.92249775;52.7681198;18;88.60495949999999;0.550028729999994;23.893143019999997;50.194322539999995;1.6473788599999892;8;51.79264;204.165;4.9766306;11.3425;26873.3742;206.3572;18.055601683;219.18;89.57935080000001;-116.40064919999999;-111.51764919999998;1.461694800000012;-0.0050000999999901975;0.9743913000000219;6.868285455319991;3.5555555555555554;7.63142828368888;0.23570226039551584;-1;-1;72.36922497999429;3;5
5;14;4.75975418;59.0091324;19;90.43532942;1.8303699200000096;23.70546248000001;52.38040595;2.3803986500000036;9;59.770250999999995;525.363;4.7196346;27.6507;27356.4961;534.4964;19.064166;564.0;89.6730574;-131.76694260000002;-130.0079426;0.08870650000000023;0.09370659999999043;-0.7622720199999975;7.1203673589019925;4.2631578947368425;7.495123535686309;0.22941573387056177;-1;1;67.13433772279797;3;6
5;15;4.49127626;67.6903152;20;89.8255252;-0.6098042200000009;25.52116615;52.329333160000004;1.2205657000000087;10;69.40156900000001;546.357;4.4056529;27.3178;31898.0019;593.0377;20.074505644;586.538;88.11305800000001;-155.76894199999998;-150.866942;-1.4662928000000102;-1.5599994000000006;-1.7124671999999919;7.368062997280773;5.0;7.368062997280774;0.22360679774997896;-1;-1;61.2877346477476;3;5
5;16;4.19658375;77.4589615;21;88.12825875;-1.6972664500000008;25.181099950000004;54.5905161;-2.3070706700000017;11;78.382887;558.664;4.1525265;26.6031;32740.0;817.0;21.084147485;599.75;87.2030565;-170.7729435;-169.0589435;-2.470000899999999;-0.9100014999999985;-0.9252022499999981;7.611662611020244;5.761904761904762;7.249202486685949;0.2182178902359924;-1;1;54.92240669794873;3;4
6;2;2.96069193;36.1914024;8;23.68553544;20.233215729999998;1.1524062199999996;-2.994982740000001;22.891738884;-4;35.064269;18.243;3.1015241999999996;2.2804;0.0;0.0;8.037643039;19.584;24.812193599999997;-2.1112932;-0.09874490000000151;-63.30086440000001;-62.39086290000001;1.126658159999998;3.9999999999999996;2.0;15.0;0.3535533905932738;1;1;-2.0249999999999844;2;0
6;3;4.37235069;28.5971642;9;39.35115621;15.66562077;2.520853009999996;1.5309047199999952;35.8988365;-3;28.910971;2.137;4.3374233;0.2374;0.0;0.0;9.031037202;2.293;39.036809700000006;1.4359688000000024;1.2995689000000057;-48.1662468;14.224616100000006;-0.3143465099999929;4.3267487109222245;1.0;14.422495703074084;0.3333333333333333;1;-1;31.522640205767434;2;1
6;4;5.98236752;16.196022;10;59.823675200000004;20.472518990000005;5.854552760000004;6.731756240000003;36.13813976;-2;15.698673000000001;0.07;6.0320426;0.007;-23101.3545;400.0;10.016853217;0.075;60.320426;3.820941200000001;4.006784300000007;35.508232400000004;21.283616299999995;0.49675079999999383;4.641588833612778;0.4;13.924766500838336;0.31622776601683794;1;1;55.90586214576752;2;2
6;5;6.65679884;10.8662949;11;73.22478724000001;13.401112040000008;8.595714140000013;17.087465800000018;33.87363103000001;-1;10.649397;0.06;6.6764563;0.0054;-13716.2469;5.0008;11.011432597;0.064;73.4410193;15.276995600000003;8.6901843;34.404209599999994;13.120593300000001;0.21623205999998163;4.9460874432487;0.09090909090909091;13.489329390678277;0.30151134457776363;1;-1;73.65003258570397;2;3
6;6;7.62758875;0.631393433;12;91.531065;18.306277759999986;15.684407739999997;26.871207299999995;31.707389799999994;0;0.0;0.0;7.680144599999999;0.0002;-17338.0681;0.9999;12.0;0.0;92.1617352;27.18542919999999;15.956679900000003;31.841309199999998;18.720715899999995;0.6306701999999973;5.241482788417793;0.0;13.103706971044483;0.28867513459481287;1;1;86.43596779674341;2;2
6;7;7.4395442;3.51976776;13;96.7140746;5.183009600000005;17.100005600000003;30.69510796;23.48928735999999;1;3.1250093299999997;0.00023;7.4698495000000005;0.0002;-2220.4718;0.2695;13.00335483534;0.00025;97.1080435;31.630101299999996;17.533359100000002;23.6670242;4.9463083000000045;0.3939688999999902;5.528774813678871;0.07692307692307693;12.758711108489706;0.2773500981126146;1;-1;95.42523447154188;2;1
6;8;7.46202803;3.83683014;14;104.46839242;7.754317819999997;19.670387309999995;35.070389739999996;12.937327420000003;2;3.01989328;0.00375;7.5203198;0.0004;156.4765;0.0037;14.00324198862;0.00403;105.28447720000001;36.63580960000001;20.831025000000007;13.122742000000013;8.17643370000001;0.8160847800000113;5.808785733563703;0.2857142857142857;12.447398000493653;0.2672612419124244;1;1;101.44592826149618;2;0
6;9;7.05751944;10.5138092;15;105.86279160000001;1.3943991800000077;20.58723508;38.40181022;9.148717000000005;3;9.873145000000001;0.8;7.1001696;0.0533;9771.7071;0.8;15.010599256;0.858;106.50254400000001;38.363877300000006;21.079512600000015;9.394500500000008;1.2180668000000006;0.6397524000000061;6.082201995573399;0.6;12.164403991146802;0.25819888974716115;1;-1;105.104070034441;2;1
6;10;6.89816666;14.0773163;16;110.37066656;4.507874959999995;23.188838509999997;42.11748226;5.902274140000003;4;13.694132999999999;3.578;6.9220546;0.2236;8010.226;4.254;16.014701255;3.84;110.7528736;40.83831140000001;22.5522166;5.468396399999998;4.250329599999997;0.3822070399999973;6.3496042078727974;1.0;11.905507889761497;0.25;1;1;106.85318049918794;2;2
6;11;6.50885391;21.8688431;17;110.65051647;0.2798499099999958;23.692935829999996;44.979582719999996;4.787724869999991;5;21.03188;17.365;6.5580262000000005;1.0215;13161.8007;22.9464;17.02257865;18.641;111.4864454;43.371883399999994;23.368789399999994;4.983901399999988;0.7335717999999907;0.8359289299999944;6.611489018457944;1.4705882352941178;11.66733356198461;0.24253562503633297;1;-1;107.0392656604428;2;3
6;12;6.3491888;26.3053284;18;114.2853984;3.634881930000006;26.230467630000007;48.03208720000001;3.9147318400000017;6;24.919266;30.0;6.4261321;1.6667;11806.0982;35.2821;18.02675193;32.206;115.6703778;47.1058162;26.086026899999997;4.917504199999995;4.183932400000005;1.3849793999999918;6.868285455319991;2.0;11.44714242553332;0.23570226039551584;1;1;105.93078333423983;2;4
6;13;6.04438353;33.8188248;19;114.84328707;0.557888669999997;26.23832757000001;50.131470590000006;4.192770600000003;7;32.413754;98.389;6.118274;5.1784;16557.4995;99.7475;19.034797594;105.625;116.247206;-84.84979399999999;26.66785519999999;4.760760600000009;0.5768282000000036;1.4039189300000032;7.1203673589019925;2.5789473684210527;11.242685303529464;0.22941573387056177;1;-1;103.73912927587443;2;5
6;14;5.94862747;37.7609406;20;118.97254939999999;4.129262329999989;28.53721997999999;52.24268246;4.687150999999986;8;37.503567000000004;230.625;5.9614356;11.5312;15737.0689;243.7459;20.040261732;247.585;119.228712;-100.452288;29.555654599999993;3.5583341999999973;2.9815059999999938;0.25616260000001034;7.368062997280773;3.2;11.05209449592116;0.22360679774997896;1;1;100.63296469319525;2;6
6;15;5.61309242;46.9299316;21;117.87494082;-1.097608579999985;28.049415620000005;53.570581770000004;3.031653750000004;9;45.643;596.0;5.674;28.0;20411.0;611.0;21.049;640.0;119.154;-119.826;31.040941999999994;2.9067939999999943;-0.07471199999999953;1.2790591799999902;7.611662611020244;3.857142857142857;10.873803730028923;0.2182178902359924;1;-1;96.74844058371963;2;5
