;Unnamed: 0;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;BE_Predictions;Difference_BE_AME_ANN;Difference_BE_DZ_AME
10;66;6.0;13.0;6.04438353;33.8188248;19.0;114.84328707;0.557888669999997;26.23832757000001;50.131470590000006;4.192770600000003;32.413754;6.118274;19.034797594;116.247206;4.607289199999999;4.760760600000009;1.4039189300000032;7.1203673589019925;2.5789473684210527;11.242685303529464;0.2294157338705617;1.0;-1.0;2.0;5.0;7.0;105.625;16557.4995;99.7475;5.1784;98.389;103.73912927587445;0.1681761139418497;0.0054086813026808;0.0734463276836158;0.1724137931034483;0.0;0.1817769458597282;0.1412999401475462;0.0508474576271186;0.0909090909090909;1.0;0.0587560749319198;113.66665540711953;2.5805505928804706;-1.4039189300000032
11;67;6.0;14.0;5.94862747;37.7609406;20.0;118.9725494;4.129262329999989;28.53721997999999;52.24268246;4.687150999999986;37.503567;5.9614356;20.040261732;119.228712;7.100227199999994;3.5583341999999973;0.2561626000000103;7.368062997280773;3.2;11.05209449592116;0.2236067977499789;1.0;1.0;2.0;6.0;8.0;247.585;15737.0689;243.7459;11.5312;230.625;100.63296469319523;0.2086756679115197;0.0053169910249808;0.0790960451977401;0.2068965517241379;1.0;0.1756088917444232;0.1470184496462978;0.0508474576271186;0.0909090909090909;1.0;0.0601797575327532;127.1673306368664;-7.938618636866394;-0.25616259999999613
12;68;6.0;15.0;5.61309242;46.9299316;21.0;117.87494082;-1.097608579999985;28.049415620000005;53.57058177;3.031653750000004;45.643;5.674;21.049;119.154;-15.406504000000016;2.9067939999999943;1.2790591800000044;7.611662611020244;3.857142857142857;10.873803730028923;0.2182178902359924;1.0;-1.0;2.0;5.0;9.0;640.0;20411.0;611.0;28.0;596.0;96.74844058371964;0.2515287068576354;0.005231218106333;0.0847457627118644;0.1724137931034483;0.0;0.1698868330957032;0.152642394880776;0.0508474576271186;0.0909090909090909;1.0;0.0601440822148187;114.5342146384269;4.6197853615730935;-1.2790591799999902
13;69;6.0;16.0;5.38717318;54.3584442;22.0;118.51780996;0.6428691399999877;30.38955121;55.57065116;-0.4547394399999973;53.611203;5.4210778;22.05755399;119.2637116;-29.94195409999999;0.0349995999999955;0.7459016399999996;7.851424410539689;4.545454545454546;10.706487832554124;0.2132007163556104;1.0;1.0;2.0;4.0;10.0;248.515;21846.3983;311.0627;10.5223;231.49;92.19662629620188;0.2964143010106814;0.0051507250264432;0.0903954802259887;0.1379310344827586;1.0;0.164559489265834;0.1581777371135408;0.0508474576271186;0.0909090909090909;1.0;0.060196470000062;124.69446345210075;-5.430751852100755;-0.7459016399999996
14;70;6.0;17.0;5.03126669;65.2284927;23.0;115.71913387;-2.7986760900000007;29.92062657;57.25052437;-2.155806950000013;64.171;5.077;23.06889;116.771;-32.433;-2.383;1.0518661300000076;8.087579399090064;5.260869565217392;10.54901660750878;0.2085144140570747;1.0;-1.0;2.0;3.0;11.0;1070.0;27450.0;1082.0;43.0;997.0;87.06899455215762;0.3430673344741017;0.0050749680655732;0.096045197740113;0.1034482758620689;0.0;0.159583472043743;0.1636298094796183;0.0508474576271186;0.0909090909090909;1.0;0.0590061889361247;115.31207909097522;1.4589209090247834;-1.0518661300000076
15;77;7.0;9.0;7.41959476;4.95211029;16.0;118.71351616;3.493555959999995;12.850724559999987;33.43795963999999;13.427935480000002;5.6839070000000005;7.3737971;16.006101925;117.9807536;29.8630976;13.322146399999998;-0.7327625599999976;6.349604207872797;0.25;16.667711045666096;0.25;-1.0;-1.0;1.0;1.0;2.0;2.47;10420.9094;2.3014;0.1438;2.301;120.99767489952244;0.0163027865555874;0.0080185769375648;0.0508474576271186;0.0344827586206896;0.0;0.2036337652109244;0.1235054548296097;0.059322033898305;0.0454545454545454;0.0;0.0595838517520357;118.21576519133896;-0.2350115913389601;0.7327625599999976
16;78;7.0;10.0;7.34199667;6.92305756;17.0;124.81394339;6.100427230000008;14.443276830000002;37.63211534;9.593983190000005;7.870079;7.2862294;17.008448876;123.8658998;34.2815489;8.37399530000001;-0.9480435900000116;6.611489018457944;0.5294117647058824;16.334266986778452;0.2425356250363329;-1.0;1.0;1.0;2.0;3.0;16.103;8678.843;15.0;0.8824;15.0;125.70170718100856;0.0345235480000676;0.0078581621791592;0.0564971751412429;0.0689655172413793;1.0;0.1957079302977652;0.129551547472629;0.059322033898305;0.0454545454545454;0.0;0.0623940356820029;126.89224688466638;-3.0263470846663836;0.9480435900000117
17;79;7.0;11.0;7.06477356;12.6424561;18.0;127.16592408;2.3519806899999907;16.515407609999997;40.20834343999999;8.452407919999999;13.113167;7.038562700000001;18.014077563;126.6941286;37.1147778;8.713375000000015;-0.471795479999983;6.868285455319991;0.8888888888888888;16.02599939574665;0.2357022603955158;-1.0;-1.0;1.0;3.0;4.0;19.935;13895.9838;18.5695;1.0316;18.57;128.61154224822334;0.0579654633087554;0.0077098594284531;0.0621468926553672;0.1034482758620689;0.0;0.1884521158045007;0.1354801656471466;0.059322033898305;0.0454545454545454;0.0;0.0637445277265389;126.28823286700249;0.40589573299750725;0.47179547999999727
18;80;7.0;12.0;6.94115734;15.9977722;19.0;131.88198946;4.716065380000003;17.596591059999994;43.82705869;7.068046069999994;15.856255;6.9485452;19.017022389;132.02235879999998;42.34930139999998;8.156458999999987;0.1403693400000065;7.1203673589019925;1.3157894736842106;15.73975942494125;0.2294157338705617;-1.0;1.0;1.0;4.0;5.0;17.61;12523.3972;16.6143;0.8634;16.404;130.01730019219778;0.0858041397662499;0.0075721538237531;0.0677966101694915;0.1379310344827586;1.0;0.1817769458597282;0.1412999401475462;0.059322033898305;0.0454545454545454;0.0;0.066288781747485;134.04748266168684;-2.0251238616868648;-0.14036933999997814
19;81;7.0;13.0;6.71872807;21.5765839;20.0;134.3745614;2.492571940000005;19.53127433;45.76960190000001;7.208637320000008;21.766498;6.7091717;20.023367295;134.183434;46.070376;7.489305399999997;-0.1911273999999991;7.368062997280773;1.8;15.472932294289626;0.2236067977499789;-1.0;-1.0;1.0;5.0;6.0;84.696;17970.3261;78.8991;3.9447;78.894;130.1506407477324;0.1173800632002298;0.0074437874349731;0.0734463276836158;0.1724137931034483;0.0;0.1756088917444232;0.1470184496462978;0.059322033898305;0.0454545454545454;0.0;0.0673207049303774;132.81517610574514;1.3682578942548673;0.19112739999999917
20;82;7.0;14.0;6.62094688;24.9826355;21.0;139.03988448;4.665323080000007;20.06733508000002;48.60455506000001;7.157895020000012;25.231915;6.6090159;21.027087573;138.7893339;51.58627739999999;6.7669751000000105;-0.2505505800000094;7.611662611020244;2.333333333333333;15.223325222040492;0.2182178902359924;-1.0;1.0;1.0;6.0;7.0;143.906;17169.8816;134.584;6.3832;134.048;129.19872886569232;0.1521593411854831;0.0073237053488663;0.0790960451977401;0.2068965517241379;1.0;0.1698868330957032;0.152642394880776;0.059322033898305;0.0454545454545454;0.0;0.069520042965857;142.04180970031024;-3.2524758003102363;0.2505505800000094
21;83;7.0;15.0;6.35538006;32.2755432;22.0;139.81836132;0.7784768399999962;21.9434205;49.99283612000001;5.443799920000004;31.764805;6.3785347;22.034100918;140.3277634;8.090763399999997;6.144329399999988;0.509402080000001;7.851424410539689;2.909090909090909;14.989082965575774;0.2132007163556104;-1.0;-1.0;1.0;5.0;8.0;223.06;22481.7725;215.435;9.4445;207.779;127.31438476121308;0.1897051526468361;0.0072110150370205;0.0847457627118644;0.1724137931034483;0.0;0.164559489265834;0.1581777371135408;0.059322033898305;0.0454545454545454;0.0;0.0702546500106722;136.64737519112975;3.680388208870255;-0.509402080000001
