;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE
2383;77.0;94.0;7.87227964;-26.1947021;171.0;1346.15981844;11.160815739999862;-0.0038985600001524;2.6391838800000187;20.6900890899999;-26.41203;7.8734895;170.97164552;1346.3667045;-16.402935599999967;20.461250900000103;0.206886059999988;30.80804029142188;1.6900584795321638;1054.319601084216;0.0764719112901872;-1.0;1.0;5.0;12.0;17.0;41.295;-8945.4613;89.6251;0.2249;38.466;0.1102106506330943;0.507216786690977;0.5310734463276836;0.41379310344827586;1.0;0.019377884362953304;0.6881734481129543;0.652542372881356;0.2272727272727273;0.0;0.6461436994949434
2384;77.0;95.0;7.88027811;-27.37146;172.0;1355.40783492;9.248016479999931;0.3592688999999609;3.122455319999972;20.408832219999795;-27.379373;7.8802637;171.970607035;1355.4053564;-15.752155599999709;20.395356400000164;-0.0024785199998405;30.92803284791408;1.8837209302325584;1052.2723734069375;0.0762492851663023;-1.0;-1.0;5.0;13.0;18.0;34.785;-6272.7035;34.0232;0.1884;32.402;0.12283960102349636;0.5062318972485099;0.536723163841808;0.4482758620689655;0.0;0.019141495125561445;0.6909436970304214;0.652542372881356;0.2272727272727273;0.0;0.6504596966604766
2385;77.0;96.0;7.89731693;-30.1281738;173.0;1366.23582889;10.82799397000008;0.503984649999893;3.656470749999926;20.07601045000001;-30.268456;7.898068;172.967505477;1366.365764;-14.850112399999984;19.999059499999973;0.1299351100001331;31.04779308435421;2.086705202312139;1050.240954506595;0.0760285921269705;-1.0;1.0;5.0;14.0;19.0;11.316;-8331.6974;64.3014;0.0609;10.542;0.13607643807091516;0.5052546131631193;0.5423728813559322;0.48275862068965514;1.0;0.018907158479192332;0.6937085824120862;0.652542372881356;0.2272727272727273;0.0;0.6556933408651713
2386;77.0;97.0;7.90345001;-31.0211182;174.0;1375.20030174;8.964472849999993;0.8807520200000454;4.144307580000032;19.792466820000072;-30.785937;7.9020377;173.966949939;1374.9545598;-14.451865800000029;19.549203399999765;-0.2457419400000162;31.167322789559027;2.2988505747126435;1048.225131979882;0.0758098043578903;-1.0;-1.0;5.0;15.0;20.0;12.046;-5468.3293;15.2578;0.0645;11.221;0.14991068097091934;0.504284832250873;0.5480225988700564;0.5172413793103449;0.0;0.018674844890018596;0.6964681455560744;0.652542372881356;0.2272727272727273;0.0;0.6597945297081826
2387;77.0;98.0;7.91825628;-33.4443359;175.0;1385.694849;10.49454725999999;1.0175032799998007;4.68397587000004;19.459020109999983;-33.394511;7.9179112;174.964149519;1385.63446;-13.458479999999982;19.268695999999995;-0.0603889999999864;31.286623728379865;2.52;1046.2246974770228;0.0755928946018454;-1.0;1.0;5.0;16.0;21.0;13.295;-7685.8265;22.3572;0.0708;12.384;0.1643320884803218;0.5033224542779294;0.5536723163841808;0.5517241379310345;1.0;0.018444525415737947;0.6992224272072259;0.652542372881356;0.2272727272727273;0.0;0.6648942303605971
2388;77.0;99.0;7.92258024;-34.0522461;176.0;1394.37412224;8.679273240000157;1.4088299900001855;5.178662940000095;19.173820500000147;-33.881923;7.9215522;175.963626261;1394.1931872;-12.74565599999996;19.238627400000112;-0.1809350400001221;31.405697642158756;2.75;1044.2394466017788;0.0753778361444409;-1.0;-1.0;5.0;17.0;22.0;8.679;-4948.0041;15.0657;0.0459;8.085;0.17933065211146226;0.5023673809124327;0.559322033898305;0.5862068965517241;0.0;0.01821617169042758;0.7019714675676251;0.652542372881356;0.2272727272727273;0.0;0.6689810613111034
2389;77.0;100.0;7.93520832;-36.1385498;177.0;1404.53187264;10.15775039999994;1.53689200000008;5.723155390000102;18.837023640000098;-36.047425;7.9346328;176.9613015;1404.4300056;-11.786447699999902;18.79554560000007;-0.1018670400001156;31.52454624917325;2.9887005649717517;1042.2691788144743;0.0751646028002828;-1.0;1.0;5.0;18.0;23.0;21.213;-6676.988;24.801;0.1116;19.76;0.1948965895571927;0.501419515677859;0.5649717514124294;0.6206896551724138;1.0;0.017989755909869357;0.7047153063068704;0.652542372881356;0.2272727272727273;0.0;0.6738691883998871
2390;77.0;101.0;7.93775463;-36.4556885;178.0;1412.92032414;8.388451499999974;1.9414601400001172;6.223317259999931;18.546201899999915;-36.254314;7.936563;177.961079395;1412.708214;-10.963838800000026;18.51502679999988;-0.2121101400000498;31.6431712450704;3.235955056179775;1040.3136973379328;0.0749531688995861;-1.0;-1.0;5.0;19.0;24.0;20.204;-4256.8282;21.3752;0.1057;18.821;0.21102033833749184;0.5004787639077647;0.5706214689265536;0.6551724137931034;0.0;0.017765250817329895;0.7074539825720932;0.652542372881356;0.2272727272727273;0.0;0.6778220703545614
2391;77.0;102.0;7.94825459;-38.2015381;179.0;1422.73757161;9.817247469999984;2.0614403699999;6.771668890000001;18.20569896999996;-38.081719;7.9475248;178.959117594;1422.6069392000002;-10.067282199999784;18.176933600000105;-0.1306324100000893;31.7615743032901;3.4916201117318435;1038.372809066222;0.0747435092751935;-1.0;1.0;5.0;20.0;25.0;10.489;-5813.592;12.6133;0.0546;9.771;0.22769254965904298;0.49954503270188466;0.576271186440678;0.6896551724137931;1.0;0.01754262968977681;0.7101875349977326;0.652542372881356;0.2272727272727273;0.0;0.6825487564110952
2392;77.0;103.0;7.94905138;-38.2218018;180.0;1430.8292484;8.091676790000065;2.478637750000189;7.277144460000045;17.90892426000005;-37.97753;7.9476337;179.959229446;1430.574066;-9.424529999999796;17.86585200000019;-0.2551824000001943;31.879757075478327;3.755555555555556;1036.4463244761068;0.0745355992499929;-1.0;-1.0;5.0;21.0;26.0;23.302;-3547.6546;23.9205;0.1206;21.706;0.2449040824794919;0.49861823088353363;0.5819209039548022;0.7241379310344828;0.0;0.01732186632451825;0.7129160017150741;0.652542372881356;0.2272727272727273;0.0;0.686353095494697
