Z;N;dz_BE/A;dz_ME
14;37;6.03692245;92.8044128
14;38;5.89727211;102.100708
14;39;5.72341824;113.489075
14;40;5.58954859;123.065979
14;41;5.41638947;135.071564
14;42;5.28244686;145.227356
14;43;5.12238598;157.139740
14;44;4.99973679;167.202393
14;45;4.85371590;178.889282
14;46;4.74340963;188.725311
14;47;4.61213589;200.060974
14;48;4.51497889;209.543945
14;49;4.39896822;220.408997
14;50;4.31556320;229.419342
14;51;4.16361523;243.051788
14;52;4.03341722;255.552643
14;53;3.87885761;269.946075
14;54;3.74556780;283.202271
14;55;3.59017253;298.250366
14;56;3.45553923;312.155945
14;57;3.30080676;327.757751
14;58;3.16633034;342.210632
14;59;3.01353550;358.269714
14;60;2.88048172;373.173584
14;61;2.73070455;389.597717
14;62;2.60015798;404.859924
14;63;2.45432758;421.560120
14;64;2.32720876;437.092468
14;65;2.18609190;453.984772
14;66;2.06318378;469.702759
14;67;1.92743897;486.706299
14;68;1.80940175;502.529327
14;69;1.67958033;519.566406
14;70;1.56696975;535.417480
14;71;1.44307697;552.452820
14;72;1.33741200;568.168335
14;73;1.22319973;584.838684
14;74;1.12663603;600.184509
14;75;1.02218986;616.424988
14;76;0.934825301;631.337036
14;77;0.840194345;647.084900
14;78;0.762101233;661.500732
14;79;0.677286029;676.697815
14;80;0.608484089;690.559326
14;81;0.533448815;705.150513
14;82;0.473925829;718.402649
14;83;0.370734453;736.009705
14;84;0.276555866;752.939880
14;85;0.171221063;771.162781
14;86;7.48668909E-02;788.698364
15;4;0.729057133;127.768883
15;5;2.15609527;106.570450
15;6;3.56828666;82.8297119
15;7;4.57909822;65.0949478
15;8;5.51844168;46.9823303
15;9;6.13547754;34.7264099
15;10;6.76630974;20.8915100
15;11;7.16762829;11.7622986
15;12;7.63012409;0.178649902
15;13;7.90149593;-6.97850037
15;14;8.26128864;-17.2425995
15;15;8.37594509;-20.8722229
15;16;8.48441315;-24.5392914
15;17;8.44496059;-23.6898346
15;18;8.48712349;-25.4547882
15;19;8.41750526;-23.5035400
15;20;8.42036915;-23.9498596
15;21;8.31252861;-20.4166260
15;22;8.26581955;-18.9295044
15;23;8.15250969;-14.8182068
15;24;8.09368801;-12.6052856
15;25;7.98414326;-8.24578857
15;26;7.92222643;-5.61996460
15;27;7.82217503;-1.26864624
15;28;7.76369619;1.49514771
15;29;7.61447620;8.36849976
15;30;7.48845434;14.4963989
15;31;7.33059978;22.3406372
15;32;7.19303226;29.5470886
15;33;7.03197861;38.1560059
15;34;6.88844204;46.2286987
15;35;6.72825432;55.4210205
15;36;6.58301640;64.1712952
15;37;6.42678261;73.7838135
15;38;6.28315544;83.0406494
15;39;6.13325310;92.9235840
15;40;5.99382544;102.530243
15;41;5.84402609;112.996552
15;42;5.70271778;123.278503
15;43;5.56340122;133.727509
15;44;5.43175220;144.002777
15;45;5.30485058;154.256500
15;46;5.18395329;164.397766
15;47;5.07015562;174.340668
15;48;4.96086788;184.226990
15;49;4.86067724;193.749695
15;50;4.76364708;203.267365
15;51;4.62925768;215.444824
15;52;4.48826313;228.333557
15;53;4.35138798;241.224152
15;54;4.20756674;254.867828
15;55;4.06981993;268.373962
15;56;3.92480206;282.671753
15;57;3.78755355;296.700195
15;58;3.64273167;311.556061
15;59;3.50714564;326.018097
15;60;3.36370087;341.340668
15;61;3.23076248;356.151611
15;62;3.08970046;371.854065
15;63;2.96025205;386.932739
15;64;2.82243013;402.931763
15;65;2.69717431;418.201172
15;66;2.56332588;434.417114
15;67;2.44287062;449.802490
15;68;2.31361246;466.159424
15;69;2.19845390;481.590515
15;70;2.07429957;498.016571
15;71;1.96503448;513.410400
15;72;1.84712172;529.775208
15;73;1.74584055;544.912170
15;74;1.63657236;560.962646
15;75;1.54427493;575.704163
15;76;1.44374621;591.379395
15;77;1.36047888;605.667603
15;78;1.26874673;620.909607
15;79;1.19450903;634.690552
15;80;1.11159670;649.444153
15;81;1.04635346;662.667236
15;82;0.972261488;676.879211
15;83;0.880343556;692.986267
15;84;0.773877978;710.717407
15;85;0.680016041;727.401123
15;86;0.571839929;745.718262
15;87;0.476720661;762.919983
15;88;0.367513239;781.763000
15;89;0.271749556;799.426270
15;90;0.162117392;818.737305
15;91;6.62664324E-02;836.806763
16;4;0.258545518;143.739090
16;5;1.63524628;122.641212
16;6;3.12241912;96.3595428
16;7;4.13344622;78.0548782
16;8;5.14608622;57.6894531
16;9;5.78900433;44.5417938
16;10;6.48211956;28.8031769
16;11;6.91708469;18.6483765
16;12;7.42848682;5.48339844
16;13;7.73519850;-2.76834106
16;14;8.13127327;-14.3143921
16;15;8.28547287;-19.1544952
16;16;8.51217461;-26.6230316
16;17;8.50089931;-26.6917267
16;18;8.57588863;-29.6708984
16;19;8.52776051;-28.4909058
16;20;8.56265736;-30.2036133
16;21;8.47161579;-27.3262939
16;22;8.45591164;-27.1298218
16;23;8.35316849;-23.5073242
16;24;8.32333374;-22.5957642
16;25;8.21939659;-18.5863037
16;26;8.18413544;-17.2533264
16;27;8.08513832;-13.1092224
16;28;8.05078030;-11.6112061
16;29;7.90258932;-4.92202759
16;30;7.80346298;-0.193420410
16;31;7.64514303;7.51553345
16;32;7.53404856;13.2742920
16;33;7.37106705;21.7977295
16;34;7.25333261;28.3847656
16;35;7.08978033;37.5439758
16;36;6.96947956;44.7812195
16;37;6.80847168;54.4165344
16;38;6.68875647;62.1440735
16;39;6.53268766;72.1104736
16;40;6.41602707;80.1821594
16;41;6.25935030;90.7680969
16;42;6.13938522;99.5380859
16;43;5.99094200;110.228241
16;44;5.87923908;119.010864
16;45;5.74179745;129.586945
16;46;5.63941002;138.264526
16;47;5.51369715;148.616425
16;48;5.42145634;157.077484
16;49;5.30801439;167.101135
16;50;5.22655487;175.240845
16;51;5.08050728;187.870850
16;52;4.95730639;199.239349
16;53;4.80907011;212.581757
16;54;4.68305492;224.665161
16;55;4.53414392;238.626129
16;56;4.40682411;251.330383
16;57;4.25851297;265.821655
16;58;4.13116455;279.058350
16;59;3.98453236;293.995941
16;60;3.85824704;307.680450
16;61;3.71421528;322.984070
16;62;3.58992124;337.036194
16;63;3.44925380;352.630341
16;64;3.32774782;366.972931
16;65;3.19111609;382.783752
16;66;3.07306409;397.344299
16;67;2.94101524;413.302612
16;68;2.82699513;428.010681
16;69;2.69999695;444.049927
16;70;2.59048367;458.839508
16;71;2.46957111;474.839691
16;72;2.36536717;489.611481
16;73;2.25131559;505.468140
16;74;2.15502381;519.954468
16;75;2.04956365;535.467590
16;76;1.96127784;549.611755
16;77;1.86444080;564.727722
16;78;1.78421605;578.475830
16;79;1.69600439;593.143005
16;80;1.62385464;606.444824
16;81;1.54423714;620.615234
16;82;1.48016858;633.421143
16;83;1.37540305;650.384033
16;84;1.28062403;666.557983
16;85;1.17439306;684.078064
16;86;1.07801950;700.805176
16;87;0.970935762;718.828064
16;88;0.873586416;736.052917
16;89;0.766203046;754.526001
16;90;0.668425202;772.195618
16;91;0.561237931;791.067505
16;92;0.463514745;809.131836
16;93;0.356967658;828.353333
16;94;0.259735614;846.763306
16;95;0.154224738;866.286560
16;96;5.78671433E-02;884.995789
17;5;1.11413503;139.759445
17;6;2.54803014;113.737106
17;7;3.63294315;93.2225418
17;8;4.63736773;72.5503693
17;9;5.35017920;57.4512787
17;10;6.05512905;41.1388397
17;11;6.54912949;29.3230743
17;12;7.08031607;15.4409027
17;13;7.43497992;5.79205322
17;14;7.85337448;-6.54177856
17;15;8.04979610;-12.6092682
17;16;8.30492592;-21.0069733
17;17;8.40609932;-24.6804199
17;18;8.51336956;-28.7695618
17;19;8.49917126;-28.7004395
17;20;8.55959034;-31.3637085
17;21;8.50161839;-29.6490173
17;22;8.50595760;-30.2484436
17;23;8.43344593;-27.7825928
17;24;8.41827583;-27.5226746
17;25;8.34213734;-24.6717529
17;26;8.31666565;-23.8472290
17;27;8.24291992;-20.8477173
17;28;8.21388721;-19.7127686
17;29;8.09187889;-14.2428894
