;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE
77;7;9;7.41959476;4.95211029;16;118.71351616;3.493555959999995;12.850724559999989;33.43795963999999;13.427935480000002;5.6839070000000005;7.3737971;16.006101925;117.9807536;29.863097599999993;13.322146399999998;-0.7327625599999976;6.3496042078727974;0.25;16.667711045666096;0.25;-1;-1;1;1;2.0;2.47;10420.9094;2.3014;0.1438;2.301;120.99767489952244
78;7;10;7.34199667;6.92305756;17;124.81394339;6.100427230000008;14.443276830000002;37.63211534;9.593983190000003;7.870079;7.2862294;17.008448876;123.8658998;34.2815489;8.37399530000001;-0.9480435900000117;6.611489018457944;0.5294117647058824;16.334266986778452;0.24253562503633297;-1;1;1;2;3.0;16.103;8678.843;15.0;0.8824;15.0;125.70170718100856
79;7;11;7.06477356;12.6424561;18;127.16592408;2.3519806899999907;16.515407609999997;40.20834343999999;8.452407919999999;13.113166999999999;7.038562700000001;18.014077563;126.69412860000001;37.1147778;8.713375000000015;-0.47179547999998306;6.868285455319991;0.8888888888888888;16.02599939574665;0.23570226039551584;-1;-1;1;3;4.0;19.935;13895.9838;18.5695;1.0316;18.57;128.61154224822334
80;7;12;6.94115734;15.9977722;19;131.88198946;4.716065380000003;17.596591059999994;43.82705869;7.068046069999994;15.856254999999999;6.9485452;19.017022389;132.02235879999998;42.34930139999998;8.156458999999987;0.14036934000000656;7.1203673589019925;1.3157894736842106;15.73975942494125;0.22941573387056177;-1;1;1;4;5.0;17.61;12523.3972;16.6143;0.8634;16.404;130.01730019219778
81;7;13;6.71872807;21.5765839;20;134.3745614;2.492571940000005;19.531274330000002;45.76960190000001;7.208637320000008;21.766498;6.7091717;20.023367295;134.183434;46.070376;7.4893053999999974;-0.19112739999999917;7.368062997280773;1.8;15.472932294289626;0.22360679774997896;-1;-1;1;5;6.0;84.696;17970.3261;78.8991;3.9447;78.894;130.1506407477324
82;7;14;6.62094688;24.9826355;21;139.03988448;4.665323080000007;20.06733508000002;48.60455506000001;7.157895020000012;25.231915;6.6090159;21.027087573;138.7893339;51.58627739999999;6.7669751000000105;-0.2505505800000094;7.611662611020244;2.3333333333333335;15.223325222040492;0.2182178902359924;-1;1;1;6;7.0;143.906;17169.8816;134.584;6.3832;134.048;129.19872886569232
83;7;15;6.35538006;32.2755432;22;139.81836132;0.7784768399999962;21.943420500000002;49.99283612000001;5.443799920000004;31.764805;6.3785347;22.034100918;140.3277634;8.090763399999997;6.144329399999988;0.509402080000001;7.851424410539689;2.909090909090909;14.989082965575774;0.21320071635561044;-1;-1;1;5;8.0;223.06;22481.7725;215.435;9.4445;207.779;127.31438476121308
84;7;16;6.12449503;39.3018951;23;140.86338569;1.045024369999993;22.345575730000007;52.73512694;1.8235012099999892;36.720428999999996;6.2366721;23.039421;143.4434583;10.475458299999998;4.654124400000001;2.580072610000002;8.087579399090064;3.5217391304347827;14.768623250512292;0.20851441405707477;-1;1;1;4;9.0;451.5;22099.0584;437.8271;18.2856;420.57;124.62358089589719
85;7;17;5.83739233;48.1392517;24;140.09741592;-0.7659697699999981;24.37828205000001;54.298908620000006;0.27905459999999493;46.938;5.887;24.05039;141.288;-27.433732500000012;0.9602366000000038;1.1905840799999794;8.320335292207616;4.166666666666667;14.56058676136333;0.2041241452319315;-1;-1;1;3;10.0;430.0;28438.0;433.0;17.0;401.0;121.23106060925917
86;7;18;5.57917118;56.8287659;25;139.47927950000002;-0.6181364199999848;24.675526700000034;57.122309410000014;-1.384106189999983;55.983;5.613;25.0601;140.325;-31.688589600000007;-3.1184582999999986;0.8457204999999988;8.549879733383484;4.84;14.363797952084255;0.2;-1;1;1;2;11.0;540.0;28654.0;529.0;20.0;503.0;117.22460502119984
92;8;8;7.99398994;-5.02056122;16;127.90383904;16.131404289999992;12.683878839999991;23.435446619999993;29.960028599999987;-4.737002169999999;7.9762072;15.99491461926;127.6193152;16.86644159999999;28.887418999999994;-0.2845238399999914;6.3496042078727974;0.0;22.223614727554793;0.25;1;1;0;0;0.0;0.00032;-15412.184;5.3642;0.0002;0.0003;122.94646003324601
93;8;9;7.81274414;-1.86199951;17;132.81665038;4.912811340000005;14.103134220000001;26.95385877999999;21.044215629999997;-0.8087642100000001;7.750729099999999;16.99913175595;131.76239470000002;20.275949300000008;19.807022200000006;-1.0542556800000114;6.611489018457944;0.058823529411764705;21.779022649037937;0.24253562503633297;1;-1;0;1;1.0;0.00069;-2760.4655;0.2479;0.0002;0.00064;132.8643595432372
94;8;10;7.83562803;-2.01527405;18;141.04130454;8.22465416;16.227361149999993;30.670637979999995;13.137465500000005;-0.78281634;7.7670981;17.99915961214;139.8077658;24.13738799999999;12.188450599999996;-1.2335387400000002;6.868285455319991;0.2222222222222222;21.367999194328863;0.23570226039551584;1;1;0;2;2.0;0.00069;-1655.9288;0.4633;0.0002;0.00064;140.4115017219449
95;8;11;7.59940529;2.70870972;19;144.38870051;3.347395970000008;17.22277643000001;33.73818404000001;11.572050130000008;3.3328580000000003;7.5664952;19.003577969;143.7634088;27.5162028;12.0010141;-0.6252917099999991;7.1203673589019925;0.47368421052631576;20.986345899921666;0.22941573387056177;1;-1;0;3;3.0;2.83;4820.3029;2.637;0.1388;2.637;145.96885047176804
96;8;12;7.56103277;3.94813538;20;151.2206554;6.831954889999992;19.33866594;36.93525699999999;10.17935086;3.796172;7.5685707;20.004075357;151.371414;32.14270199999999;11.563648199999996;0.1507586000000174;7.368062997280773;0.8;20.630576392386168;0.22360679774997896;1;1;0;4;4.0;0.95;3813.6349;0.8854;0.0442;0.885;149.84076281135913
