Z,N,BE/A_DZ10,MassExcess_DZ10,A,BE,S1n,S1p,S2p,S2n,MassExcess_AME,BE/A_AME,Atomic_Mass,diff
12,15,8.24809265,-14.1594391,27,222.69850155,5.642478990000029,14.673557150000022,27.164045800000025,17.607382799999982,-14.586594,8.2638525,26.984340647,-0.01575985000000024
13,15,8.30934143,-16.8334656,28,232.66156003999998,6.895993220000008,9.96305848999998,24.636615640000002,20.177808819999996,-16.850719,8.3098969,27.981910009,-0.0005554700000001134
9,19,6.63463974,33.1875763,28,185.76991272,0.302021400000001,21.224796870000006,47.920366340000015,2.53091704000002,33.403796,6.6268567,28.035860448,0.00778303999999963
14,14,8.4878664,-22.6145172,28,237.66025919999998,17.440891169999986,11.89469238000001,20.60423664000001,31.38860685999998,-21.492797109999998,8.4477445,27.97692653442,0.040121899999999044
15,13,7.90149593,-6.97850037,28,221.24188604,15.228535609999994,1.0225180099999989,8.75813482000001,34.88355050000001,-7.147856,7.9074842,27.99232646,-0.005988269999999574
12,16,8.24736309,-14.3157196,28,230.92616652,8.227664970000006,16.19987667000001,29.643462040000003,13.870143960000036,-15.019946,8.2724531,27.983875426,-0.025090009999999552
16,12,7.42848682,5.48339844,28,207.99763095999998,21.23634432999998,1.9842805299999782,1.725978619999978,39.46252239999998,4.073203,7.4787911000000005,28.004372762,-0.050304280000000645
11,17,7.78549242,-0.600997925,28,217.99378776,3.267497910000003,15.021264000000002,34.754792080000016,9.968843360000022,-0.988315,7.7992644,27.998939,-0.013771980000000461
13,16,8.34291363,-18.0450287,29,241.94449527,9.282935230000021,11.018328749999995,27.218205420000004,16.17892845000003,-18.207762,8.348464700000001,28.980453164,-0.0055510700000009905
11,18,7.68705606,2.53955078,29,222.92462573999998,4.930837979999978,15.81987221999998,37.456734419999975,8.198335889999981,2.679994,7.682152200000001,29.002877091,0.004903859999998872
12,17,8.09810257,-10.163147,29,234.84497453,3.9188080099999922,16.851186769999998,31.87245077,12.146472979999999,-10.61236,8.1135317,28.988607163,-0.015429129999999347
9,20,6.44596386,40.0959167,29,186.93295194,1.1630392200000017,21.694069740000003,50.661404489999995,1.4650606200000027,40.15019,6.4440314,29.043103,0.0019324599999999137
16,13,7.7351985,-2.76834106,29,224.32075650000002,16.323125540000035,3.0788704600000187,4.101388470000018,37.559469870000015,-3.094423,7.7463826,28.996678,-0.011184099999999475
15,14,8.26128864,-17.2425995,29,239.57737056,18.335484519999994,1.917111360000007,13.811803740000016,33.56402012999999,-16.952848999999997,8.251236800000001,28.981800368,0.010051839999999146
14,15,8.46337032,-22.3206329,29,245.43773928,7.777480080000004,12.776179240000005,22.739237729999985,25.21837124999999,-21.89508154,8.4486361,28.97649466434,0.014734219999999354
11,19,7.50709057,8.3228302,30,225.2127171,2.28809136000001,17.464210989999998,39.442804379999984,7.218929339999988,8.47467,7.5019685,30.009097931,0.0051220699999996455
16,14,8.13127327,-14.3143921,30,243.9381981,19.617441599999978,4.3608275400000025,6.277938900000009,35.94056714000001,-14.059254000000001,8.1227081,29.98490677,0.0085651699999989
15,15,8.37594509,-20.8722229,30,251.2783527,11.700982140000008,5.840613420000011,18.616792660000016,30.036466660000002,-20.200855999999998,8.3535064,29.97831349,0.02243868999999954
12,18,8.04648304,-8.64128113,30,241.3944912,6.549516670000003,18.469865460000022,34.28973768,10.468324679999995,-8.881373,8.054425,29.990465454,-0.007941960000000137
13,17,8.24034023,-15.2393494,30,247.21020689999997,5.26571162999997,12.365232369999973,29.21641913999997,14.548646859999991,-15.864116,8.2611049,29.982969171,-0.02076467000000015
14,16,8.53258991,-24.7892151,30,255.97769730000002,10.539958020000029,14.033202030000012,25.051530780000007,18.317438100000032,-24.432962,8.5206549,29.973770137,0.01193501000000019
14,17,8.45145798,-22.7353363,31,261.99519738000004,6.017500080000019,14.784990480000062,27.150222850000034,16.557458100000048,-22.949037,8.4582916,30.975363196,-0.006833620000000096
