;N-Z;N;Z;A;Mass_excess;ME_unc;BE/A;BE/A_unc;Beta_decay_Energy;BDE_unc;Atomic_Mass;AM_unc;S2n;S2z
1253;26.0;69.0;43.0;112.0;-65258.932;5.515;8353.6217;0.0492;10371.9409;11.0602;111.929941658;5.92;-6455.523200000025;11016.431999999884
1254;24.0;68.0;44.0;112.0;-75630.873;9.6;8439.2431;0.0857;4100.179;45.1185;111.918806922;10.305;-5271.75039999999;8954.411200000002
1255;22.0;67.0;45.0;112.0;-79731.052;44.085;8468.8666;0.3936;6589.9874;43.9269;111.914405199;47.327;-3963.5120000001043;6451.90559999994
1256;20.0;66.0;46.0;112.0;-86321.039;6.546;8520.7205;0.0584;262.6897;6.9799;111.907330557;7.027;-2961.560000000114;3853.7183999999834
1257;18.0;65.0;47.0;112.0;-86583.729;2.422;8516.0807;0.0216;3991.1283;2.4348;111.907048548;2.6;-1795.1583999998693;1324.4672000000137
1258;16.0;64.0;48.0;112.0;-90574.857;0.25;8544.7306;0.0022;-2584.7306;4.2434;111.902763896;0.268;-733.0287999998836;-272.4287999999651
1259;14.0;63.0;49.0;112.0;-87990.127;4.251;8514.6674;0.038;664.9224;4.2434;111.905538718;4.563;644.9744000000355;-1953.4479999998875
1260;12.0;62.0;50.0;112.0;-88655.049;0.294;8513.6189;0.0026;-7056.076;17.8317;111.904824894;0.315;1963.516799999983;-4217.539200000028
1261;10.0;61.0;51.0;112.0;-81598.973;17.829;8443.633;0.1592;-4031.455;19.7019;111.912399903;19.14;3466.50079999998;-7310.878400000016
1262;8.0;60.0;52.0;112.0;-77567.518;8.383;8400.6527;0.0749;-10504.1795;13.239;111.916727848;9.0;4764.110400000063;-10688.697599999898
1263;6.0;59.0;53.0;112.0;-67063.339;10.246;8299.8801;0.0915;-7036.991;13.1754;111.928004548;11.0;6249.980800000078;-12633.823999999964
1264;2.0;57.0;55.0;112.0;-46415.0;116.0;8102.0;1.0;0.0;0.0;111.950172;124.0;0.0;-15912.590399999957
1265;33.0;73.0;40.0;113.0;-26340.0;300.0;8027.0;3.0;13870.0;500.0;112.971723;322.0;-10283.0;0.0
1266;31.0;72.0;41.0;113.0;-40210.0;400.0;8143.0;4.0;12440.0;500.0;112.956833;429.0;-9040.0;0.0
1267;29.0;71.0;42.0;113.0;-52650.0;300.0;8246.0;3.0;10162.0;300.0;112.943478;322.0;-7830.131600000008;14464.0
1268;27.0;70.0;43.0;113.0;-62811.549;3.353;8329.4652;0.0297;9056.2674;38.4285;112.932569032;3.6;-6850.670199999886;12030.567600000062
1269;25.0;69.0;44.0;113.0;-71867.816;38.282;8402.6857;0.3388;6899.1276;38.9406;112.922846729;41.097;-5680.792499999901;9875.352499999992
1270;23.0;68.0;45.0;113.0;-78766.944;7.132;8456.8165;0.0631;4823.5559;9.8809;112.915440212;7.656;-4385.552599999988;7540.026700000144
1271;21.0;67.0;46.0;113.0;-83590.5;6.947;8492.5795;0.0615;3436.3252;18.0341;112.910261912;7.458;-3296.243899999974;4477.206900000079
1272;19.0;66.0;47.0;113.0;-87026.825;16.643;8516.066;0.1473;2016.4615;16.641;112.906572865;17.866;-2115.5633999999263;2309.6409000000003
1273;17.0;65.0;48.0;113.0;-89043.286;0.245;8526.9874;0.0022;323.837;0.2653;112.904408105;0.262;-1140.4750999999142;591.8488000000434
1274;15.0;64.0;49.0;113.0;-89367.123;0.188;8522.9297;0.0017;-1038.9941;1.5733;112.904060451;0.202;73.14490000006117;-1339.9652999999398
1275;13.0;63.0;50.0;113.0;-88328.129;1.575;8506.8117;0.0139;-3911.1637;17.1206;112.905175857;1.69;1545.91910000009;-3420.329199999889
1276;11.0;62.0;51.0;113.0;-84416.966;17.193;8465.2762;0.1521;-6069.9281;32.8102;112.909374664;18.457;2842.6166999999714;-6441.700599999978
1277;9.0;61.0;52.0;113.0;-78347.037;27.945;8404.6366;0.2473;-7227.521;29.0704;112.915891;30.0;4166.66030000008;-9999.867199999953
1278;7.0;60.0;53.0;113.0;-71119.517;8.011;8333.7528;0.0709;-8915.8902;10.5334;112.923650062;8.6;5742.490499999933;-12019.527500000033
1279;3.0;58.0;55.0;113.0;-51764.539;8.577;8148.623;0.0759;-12055.0;300.0;112.944428484;9.207;8884.398999999954;-15177.176900000137
1280;1.0;57.0;56.0;113.0;-39710.0;300.0;8035.0;3.0;0.0;0.0;112.95737;322.0;0.0;-16611.0
1281;32.0;73.0;41.0;114.0;-34960.0;500.0;8097.0;4.0;14720.0;583.0;113.962469;537.0;-9234.0;0.0
1282;30.0;72.0;42.0;114.0;-49680.0;300.0;8219.0;3.0;8920.0;527.0;113.946666;322.0;-8208.0;15732.0
1283;28.0;71.0;43.0;114.0;-58600.294;433.145;8290.2599;3.7995;11620.919;433.1594;113.93709;465.0;-7223.245200000067;12797.628599999898
1284;26.0;70.0;44.0;114.0;-70221.213;3.556;8385.3351;0.0312;5489.0622;71.6432;113.92461443;3.817;-6145.511999999937;10754.201400000027
1285;24.0;69.0;45.0;114.0;-75710.275;71.561;8426.6221;0.6277;7780.0712;71.8915;113.91872168;76.824;-4815.872999999872;8322.045600000092
1286;22.0;68.0;46.0;114.0;-83490.346;6.948;8488.0056;0.061;1440.4642;8.3133;113.91036943;7.459;-3729.49859999989;5558.925000000083
1287;20.0;67.0;47.0;114.0;-84930.811;4.564;8493.7786;0.04;5084.1233;4.5727;113.908823029;4.9;-2542.4394000000902;2839.96800000003
1288;18.0;66.0;48.0;114.0;-90014.934;0.276;8531.5135;0.0024;-1445.1268;0.3817;113.903364998;0.296;-1506.7494000001898;1230.4019999999618
1289;16.0;65.0;49.0;114.0;-88569.807;0.301;8511.9742;0.0027;1989.9281;0.3018;113.904916405;0.323;-307.0247999999665;-468.14099999998507
1290;14.0;64.0;50.0;114.0;-90559.735;0.029;8522.5671;0.0004;-6063.1189;19.7724;113.90278013;0.031;1020.0948000000826;-2526.6390000000647
1291;12.0;63.0;51.0;114.0;-84496.616;19.772;8462.5191;0.1734;-2606.9398;31.4275;113.909289155;21.226;2153.0153999999675;-5944.906200000085
1292;10.0;62.0;52.0;114.0;-81889.676;24.428;8432.7885;0.2143;-9250.7417;31.5883;113.91208782;26.224;3663.481200000002;-9214.665599999877
1293;8.0;61.0;53.0;114.0;-72638.935;20.027;8344.779;0.1757;-5553.036;22.9354;113.9220189;21.5;5118.474600000016;-11269.355999999927
1294;4.0;59.0;55.0;114.0;-54685.928;85.068;8173.5711;0.7462;-8780.4915;133.3375;113.941292244;91.323;8159.105400000013;-14399.226000000022
1295;2.0;58.0;56.0;114.0;-45905.437;102.676;8089.6865;0.9007;0.0;0.0;113.950718489;110.227;0.0;-16003.103399999989
1296;33.0;74.0;41.0;115.0;-30880.0;500.0;8061.0;4.0;13670.0;640.0;114.966849;537.0;-9430.0;0.0
1297;31.0;73.0;42.0;115.0;-44550.0;400.0;8173.0;3.0;11247.0;445.0;114.952174;429.0;-8395.0;16790.0
1298;29.0;72.0;43.0;115.0;-55796.0;196.0;8264.0;2.0;10309.0;197.0;114.9401;210.0;-7528.498000000063;13915.0
1299;27.0;71.0;44.0;115.0;-66105.296;25.166;8346.814;0.2188;8123.9327;26.1788;114.929033049;27.016;-6425.2454999999645;11593.610000000035
1300;25.0;70.0;45.0;115.0;-74229.228;7.319;8410.6538;0.0636;6196.5938;15.3503;114.920311649;7.857;-5308.710500000088;9336.688999999942
1301;23.0;69.0;46.0;115.0;-80425.822;13.547;8457.7342;0.1178;4556.7647;21.6496;114.913659333;14.543;-4007.20949999989;6330.57750000009
1302;21.0;68.0;47.0;115.0;-84982.587;18.268;8490.5553;0.1589;3101.893;18.2744;114.908767445;19.611;-2933.7305000000833;3879.961999999905
1303;19.0;67.0;48.0;115.0;-88084.48;0.651;8510.7252;0.0057;1451.8768;0.6514;114.905437426;0.699;-1870.1529999999093;2086.7555000001084
1304;17.0;66.0;49.0;115.0;-89536.357;0.012;8516.5472;0.0003;497.4892;0.0097;114.903878772;0.012;-733.9874999999665;55.33800000001975
1305;15.0;65.0;50.0;115.0;-90033.846;0.015;8514.0702;0.0003;-3030.4336;16.0253;114.903344695;0.016;834.72749999999;-1485.4779999999846
1306;13.0;64.0;51.0;115.0;-87003.412;16.025;8480.9156;0.1394;-4940.6447;32.2137;114.906598;17.203;1798.5310000000027;-4831.6215000000375
1307;11.0;63.0;52.0;115.0;-82062.767;27.945;8431.1504;0.243;-5724.9628;40.184;114.911902;30.0;3049.0870000000723;-8701.049499999972
1308;9.0;62.0;53.0;115.0;-76337.805;28.876;8374.5651;0.2511;-7681.0475;31.3126;114.918048;31.0;4693.4144999999535;-10431.77650000005
1309;5.0;60.0;55.0;115.0;-59699.0;102.0;8216.0;1.0;-10779.0;225.0;114.93591;110.0;7748.355000000047;-13541.572000000024
1310;3.0;59.0;56.0;115.0;-48920.0;200.0;8116.0;2.0;0.0;0.0;114.947482;215.0;9315.0;-15171.685500000021
1311;34.0;75.0;41.0;116.0;-25230.0;300.0;8012.0;3.0;15980.0;583.0;115.972914;322.0;-9860.0;0.0
1312;32.0;74.0;42.0;116.0;-41210.0;500.0;8143.0;4.0;10003.0;582.0;115.955759;537.0;-8816.0;0.0
1313;30.0;73.0;43.0;116.0;-51214.0;298.0;8223.0;3.0;12855.0;298.0;115.94502;320.0;-7802.148399999896;14616.0
1314;28.0;72.0;44.0;116.0;-64068.917;3.726;8326.884;0.0321;6666.8252;73.9257;115.931219191;4.0;-6780.327600000026;12514.544000000002
1315;26.0;71.0;45.0;116.0;-70735.742;73.832;8377.6123;0.6365;9095.2839;74.169;115.92406206;79.261;-5685.136799999978;10132.878400000183
1316;24.0;70.0;46.0;116.0;-79831.026;7.135;8449.2755;0.0615;2711.6378;7.8446;115.914297872;7.659;-4492.691600000078;7417.086399999942
1317;22.0;69.0;47.0;116.0;-82542.664;3.26;8465.9073;0.0281;6169.8248;3.2642;115.911386809;3.5;-3233.0707999998704;4557.08320000003
1318;20.0;68.0;48.0;116.0;-88712.489;0.16;8512.3511;0.0014;-462.7305;0.272;115.90476323;0.172;-2222.8383999999132;2824.077999999936
1319;18.0;67.0;49.0;116.0;-88249.758;0.22;8501.6177;0.0019;3276.2204;0.2397;115.905259992;0.236;-1201.3539999999848;909.3356000001222
1320;16.0;66.0;50.0;116.0;-91525.979;0.096;8523.1166;0.0009;-4703.9591;5.154;115.901742825;0.103;63.74199999990378;-974.0403999999689
1321;14.0;65.0;51.0;116.0;-86822.02;5.154;8475.8208;0.0444;-1558.2272;24.7485;115.906792732;5.533;1542.997199999998;-4193.794400000123
1322;12.0;64.0;52.0;116.0;-85263.793;24.206;8455.6435;0.2087;-7843.1388;75.323;115.908465558;25.986;2651.1799999999494;-7763.137600000009
1323;10.0;63.0;53.0;116.0;-77420.654;75.037;8381.2858;0.6469;-4373.7764;75.8444;115.916885513;80.555;4234.7887999999075;-9423.062799999985
1324;6.0;61.0;55.0;116.0;-62043.0;100.0;8235.0;1.0;-7663.0;224.0;115.933395;108.0;7125.752399999987;-12734.364000000052
1325;4.0;60.0;56.0;116.0;-54380.0;200.0;8162.0;2.0;-14330.0;379.0;115.941621;215.0;8388.366000000024;-14755.826400000085
1326;2.0;59.0;57.0;116.0;-40050.0;321.0;8032.0;3.0;0.0;0.0;115.957005;345.0;0.0;-16422.247600000013
