Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;N-Z;ame_ME;ame_ME_unc;ame_BE/A;ame_BE/A_unc;ame_BDE;ame_BDE_unc;ame_AM;ame_AM_unc;ame_BE;ame_S2p;ame_S1p;ame_S2n;ame_S1n;Difference_BE_DZ_AME;Surf;Asym;Coul;Pair;Z_parity;N_parity;ldm_BE;Z_distance;N_distance;rescaled_ame_BE;rescaled_N;rescaled_Z;rescaled_Surf;rescaled_Asym;rescaled_Coul;rescaled_Pair;rescaled_Z_parity;rescaled_N_parity;rescaled_Z_distance;rescaled_N_distance;rescaled_ame_S1p;rescaled_ame_S1n;rescaled_ame_S2p;rescaled_ame_S2n
34;29;7.9189496;-16.9967957;63;498.8938248;15.525386739999988;-0.2442655200000558;-2.491985310000075;36.56554609;-5;-16.85;500.0;7.917;8.0;0.0;0.0;62.981911;537.0;498.771;-2.344;-0.267;-246.428;-248.361;-0.1228247999999894;15.832896263712229;0.3968253968253968;281.97634298230355;0.1259881576697424;1;-1;497.2916069524934;6;1;0.24141291678385426;0.1638418079096045;0.288135593220339;0.342444698393612;0.02587743897712298;0.13565443956773462;0.07195530661651939;1.0;0.0;0.2727272727272727;0.034482758620689655;0.8756517000052748;0.22612641006767953;0.7962794710712745;0.21338405812865746
34;30;8.07439709;-26.7929993;64;516.76141376;17.867588959999978;0.5350125799999432;-1.1586242399999946;33.392975699999965;-4;-26.86;500.0;8.075;8.0;0.0;0.0;63.971165;537.0;516.8;-0.714;0.641;-230.332;18.029;0.0385862399999723;15.999999999999998;0.25;280.50000000000006;0.125;1;1;514.3502500000001;6;2;0.2500218458319346;0.1694915254237288;0.288135593220339;0.34630259556730864;0.01630278655558748;0.134944193886285;0.07090605941274514;1.0;1.0;0.2727272727272727;0.06896551724137931;0.8791443212933313;0.972854575508297;0.8019476088682166;0.2571545891617899
34;31;8.16825199;-32.8966064;65;530.93637935;14.174965590000056;1.169350230000077;0.179151650000108;32.042554550000034;-3;-33.02;300.0;8.17;5.0;-16529.0;583.0;64.964552;322.0;531.05;0.6708478999999352;0.746;32.279;14.25;0.1136206499999161;16.166235625781553;0.1384615384615384;279.05409803272164;0.1240347345892084;1;-1;530.5809769158999;6;3;0.25682628528698737;0.1751412429378531;0.288135593220339;0.3501404508129025;0.009029235630786909;0.13424859290442054;0.06988111970505947;1.0;0.0;0.2727272727272727;0.10344827586206896;0.8795482037110031;0.9622615136921624;0.8067632583927599;0.971283747035917
34;32;8.29590702;-41.4186707;66;547.52986332;16.593483969999966;1.8726245699999708;1.4654101999999511;30.768449560000025;-2;-41.66;200.0;8.3;3.0;-18091.0;447.0;65.955276;215.0;547.8;1.9552447999999856;2.044718499999959;31.0;16.75;0.2701366799999505;16.331620904278438;0.0606060606060606;277.6375553727335;0.1230914909793327;1;1;546.0215836032752;6;4;0.26482448604994413;0.1807909604519774;0.288135593220339;0.3539586742270421;0.0039521906801424185;0.13356711622934878;0.06887956322227873;1.0;1.0;0.2727272727272727;0.13793103448275862;0.8845437234029555;0.9692693608846303;0.8112296011014504;0.9678057084430134
34;33;8.36668205;-46.3851318;67;560.56769735;13.03783403;2.5316596699999536;4.26276114999996;29.631317999999965;-1;-46.580294;67.068;8.369534400000001;1.001;-14051.0;307.0;66.949994;72.0;560.7588048;4.680008800000069;1.8441804000000703;29.70880480000004;12.958804800000042;0.191107450000004;16.496172972233907;0.0149253731343283;276.24934440069325;0.1221694443563052;1;-1;560.7076093276937;6;5;0.27101237395671235;0.1864406779661017;0.288135593220339;0.3577576614429719;0.0009733006898858159;0.1328992694893628;0.06790051415897153;1.0;0.0;0.2727272727272727;0.1724137931034483;0.8837723537585436;0.9586421142292633;0.8207046549763876;0.9642945069288839
34;34;8.47177887;-53.8270264;68;576.08096316;15.513265810000007;4.631554609999967;7.017273240000009;28.551099840000006;0;-54.189449;0.496;8.477048199999999;0.0073;-15398.0;259.0;67.941825236;0.532;576.4392776;7.160349799999967;4.891188099999912;28.639277599999915;15.680472799999873;0.3583144399999582;16.659908371007916;0.0;274.88848812163064;0.1212678125181664;1;1;574.6725025467571;6;6;0.2784998706440247;0.192090395480226;0.288135593220339;0.36153779434841776;0.0;0.13224458266735498;0.06694314195616546;1.0;1.0;0.2727272727272727;0.20689655172413793;0.8954926664874991;0.9662713276103148;0.8293297559404395;0.9613860965475229
34;35;8.50317574;-56.3937988;69;586.71912606;10.638162899999998;5.181955779999953;8.224588449999942;26.151428710000005;1;-56.434714;1.49;8.503708199999998;0.0216;-10175.2364;42.0293;68.939414845;1.599;586.7558657999999;8.338942999999853;4.829158199999947;25.99706099999987;10.316588199999998;0.0367397399999163;16.82284307569508;0.0144927536231884;273.5540569699983;0.1203858530857692;1;-1;587.9477723295689;6;7;0.2834260881731202;0.1977401129943503;0.288135593220339;0.36529944175782825;0.0009450890756862303;0.13160260856377648;0.0660066583396123;1.0;0.0;0.2727272727272727;0.24137931034482757;0.8952540685257856;0.9512356141563822;0.8334281784337758;0.9542010056127217
34;36;8.56953144;-61.470459;70;599.8672008;13.14807473999997;5.839145550000012;9.470827320000012;23.786237639999968;2;-61.9299;1.584;8.5760338;0.0226;-10504.2727;14.9878;69.933515521;1.7;600.3223659999999;9.529043199999956;6.106689399999915;23.88308840000001;13.566500200000007;0.4551651999998967;16.984992522418104;0.0571428571428571;272.24516585933026;0.1195228609334393;1;1;600.5631268062115;6;8;0.28990415338209286;0.2033898305084746;0.288135593220339;0.369042960042494;0.0037263512127057065;0.1309729213772737;0.06509031459160769;1.0;1.0;0.2727272727272727;0.27586206896551724;0.9001680912849006;0.9603455688303695;0.8375666151980513;0.9484523908456066
34;37;8.58844852;-63.3117676;71;609.77984492;9.912644119999982;6.329985319999992;10.638132049999967;23.06071885999995;3;-63.146515;2.794;8.586060600000001;0.0394;-6644.0883;6.082;70.932209431;3.0;609.6103026000001;10.623786600000107;6.101515600000043;22.85443680000014;9.287936600000132;-0.1695423199998913;17.146371633935342;0.1267605633802817;270.9609714545839;0.1186781658193853;1;-1;612.5465999251392;6;9;0.2943391851194311;0.20903954802259886;0.288135593220339;0.37276869372174504;0.008266201633819003;0.13035511539245453;0.06419339903490912;1.0;0.0;0.2727272727272727;0.3103448275862069;0.9001481902672577;0.9483521608655475;0.8413734596419125;0.9456551352056913
34;38;8.64098358;-67.6113892;72;622.15081776;12.370972840000036;7.007999909999967;11.842323159999978;22.283616960000018;4;-67.868189;1.956;8.6444902;0.0272;-8806.4384;2.2083;71.927140506;2.1;622.4032944;11.884098400000015;7.263909400000004;22.08092840000009;12.79299179999996;0.2524766400000544;17.306994843688898;0.2222222222222222;269.70066964748537;0.1178511301977579;1;1;623.9246676544984;6;10;0.3004478965687003;0.21468926553672316;0.288135593220339;0.3764769760181456;0.014491365827188869;0.12974880376531608;0.06331523470953332;1.0;1.0;0.2727272727272727;0.3448275862068966;0.9046193371075494;0.9581773173626531;0.8457560491814902;0.943551701220441
