;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S1p;ame_S1n;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;Difference_BE_DZ_AME;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;rescaled_ame_S1n;rescaled_ame_S1p;rescaled_ame_S2n;rescaled_ame_S2p
1882;75.0;111.0;7.9797802;-41.6387939;186.0;1484.2391172;6.30272745000002;5.643145100000083;13.500439039999948;14.130574640000075;-41.92732;7.9812713;185.954989172;1484.5164618;5.828426300000166;6.179593300000066;13.66581780000031;13.850149000000208;;32.584317547703584;6.967741935483871;972.2739913427686;0.0733235575106766;-1.0;-1.0;7.0;15.0;0.2773446000001058;36.0;0.88;1072.7114;0.8337;0.0044;0.82;1479.7933657194155;0.4543744381944381;0.4677459179976853;0.6271186440677966;0.5172413793103449;0.0;0.016034894169389552;0.7291820763994564;0.635593220338983;0.3181818181818182;0.0;0.7121108334793701;0.9396390429182947;0.8990977524889316;0.9211693959797251;0.8519517737671874
1883;75.0;112.0;7.9769392;-41.0158691;187.0;1491.6876304;7.448513199999979;5.713259679999965;14.073136949999936;13.75124065;-41.216548;7.9779519;186.955752217;1491.8770053;5.9969217000000645;7.360543499999912;14.400127800000131;13.540136799999978;;32.70100281537152;7.320855614973262;970.5377840925772;0.073127242412713;-1.0;1.0;7.0;14.0;0.1893749000000752;37.0;0.791;2.4667;0.0016;0.0039;0.737;1486.2607629839704;0.47740138598073284;0.46691065565259937;0.6327683615819208;0.48275862068965514;1.0;0.015826442548859523;0.7318759704699812;0.635593220338983;0.3181818181818182;0.0;0.7156255262935479;0.9429494103357;0.8997458699129176;0.9203263667413578;0.8545052524577835
1884;75.0;113.0;7.96928501;-39.4824219;188.0;1498.22558188;6.537951479999947;6.134730859999991;14.468593419999934;13.986464679999926;-39.01688;7.9667481;187.958113658;1497.7486428;6.401801200000103;5.871637499999953;14.987202600000192;13.232180999999866;;32.817480272024206;7.680851063829787;968.8139122858212;0.0729324957489472;-1.0;-1.0;7.0;13.0;-0.4769390799999655;38.0;0.792;2120.4209;0.152;0.0039;0.738;1492.5629010285286;0.5008771018354962;0.46608132769778304;0.6384180790960452;0.4482758620689655;0.0;0.015619656325711662;0.7345650668409082;0.635593220338983;0.3181818181818182;0.0;0.7184292597581631;0.9387758000429207;0.9013032385922104;0.9194889295581609;0.8565467376501226
1885;75.0;114.0;7.96442699;-38.4622803;189.0;1505.27670111;7.05111923000004;6.198591869999973;15.045282719999932;13.589070709999987;-37.979097;7.961810499999999;188.959227764;1504.7821845;6.600182899999898;7.033541699999943;15.661484399999958;12.905179199999896;;32.93375139020674;8.047619047619047;967.102223363214;0.0727392967453307;-1.0;1.0;7.0;12.0;-0.4945166099998914;39.0;8.793;1007.7049;8.1671;0.0433;8.191;1498.7024043387687;0.5247944624560541;0.46525786073933273;0.6440677966101694;0.41379310344827586;1.0;0.015414513441611558;0.7372493995086498;0.635593220338983;0.3181818181818182;0.0;0.7217878077337588;0.9420327788772753;0.9020663136457128;0.9185996997846277;0.8588914751693673
1886;75.0;115.0;7.95249224;-36.0875244;190.0;1510.9735256;5.696824489999926;6.699433580000004;15.575089599999956;12.747943719999968;-35.583015;7.9497759;189.961800064;1510.4574209999998;7.151420999999856;5.675236499999882;16.233420999999858;12.708778199999823;;33.0498176243004;8.421052631578947;965.40256744667;0.0725476250110011;-1.0;-1.0;7.0;11.0;-0.5161046000000624;40.0;5.227;3124.8105;4.7864;0.0256;4.87;1504.6818422966596;0.5491464945039992;0.464440182673229;0.6497175141242938;0.3793103448275862;0.0;0.015210992245100141;0.7399290020502737;0.635593220338983;0.3181818181818182;0.0;0.7244977588325205;0.9382252607643413;0.9041866505651486;0.9180656182696276;0.8608803190098052
1887;75.0;116.0;7.94675541;-34.8730469;191.0;1517.83028331;6.856757710000011;6.75483410999982;16.152701640000032;12.553582199999935;-34.350408;7.943958800000001;190.963123322;1517.2961308;7.270541800000239;6.838709800000302;17.01413080000016;12.513946300000184;;33.16568041084109;8.801047120418849;963.714797278367;0.0723574605292421;-1.0;1.0;7.0;10.0;-0.5341525099997853;41.0;11.019;2044.8311;10.2443;0.0537;10.264;1510.5037306192337;0.5739263706794252;0.46362822265602055;0.655367231638418;0.3448275862068966;1.0;0.01500907148199479;0.7426039076308538;0.635593220338983;0.3181818181818182;0.0;0.72776327369461;0.9414866380039091;0.90464484862895;0.9175358036743755;0.8635951476759555
1888;75.0;117.0;7.93419647;-32.3370361;192.0;1523.36572224;5.535438930000055;7.265881739999941;16.683874839999817;12.392196640000066;-31.588828000000003;7.9302389;191.966088;1522.6058688;7.701611899999902;5.309737999999896;17.425868800000053;12.1484478000002;;33.28134116883046;9.1875;962.0387681615056;0.0721687836487032;-1.0;-1.0;7.0;9.0;-0.7598534399999153;42.0;76.0;4293.475;70.8314;0.3687;70.794;1516.1705327524817;0.5991274059178399;0.4628219110763243;0.6610169491525424;0.3103448275862069;0.0;0.014808730286066094;0.7452741490106538;0.635593220338983;0.3181818181818182;0.0;0.7302986976064131;0.9372007177095109;0.9063029594306058;0.9165418882024066;0.8650269192834626
1889;75.0;118.0;7.9275465;-30.9163818;193.0;1530.0164745;6.65075225999999;7.313319300000103;17.26185192999992;12.186191190000043;-30.231641;7.9239378;192.967545;1529.3199954;7.911995399999898;6.714126599999843;18.3189953999999;12.023864599999738;;33.39680130004011;9.580310880829016;960.374337902708;0.0719815750748694;-1.0;1.0;7.0;8.0;-0.6964791000000332;43.0;42.0;3162.7597;39.1915;0.2027;39.123;1521.684661222018;0.6247430537053108;0.4620211795271144;0.6666666666666666;0.27586206896551724;1.0;0.014609948169980416;0.7479397585521501;0.635593220338983;0.3181818181818182;0.0;0.7335047234269927;0.9411374139925683;0.9071121993983986;0.9162031038571141;0.8681326644607101
1890;75.0;119.0;7.91431189;-28.2050781;194.0;1535.37650666;5.360032159999946;7.832775179999999;17.793987619999825;12.010784419999936;-27.26;7.909;193.970735;1534.346;8.295;5.026004600000102;18.698;11.740131199999944;;33.51206218930888;9.97938144329897;958.7213667560018;0.0717958158617738;-1.0;-1.0;7.0;7.0;-1.0305066599999009;44.0;215.0;5175.0;200.0;1.0;200.0;1527.0484789420584;0.6507669025075744;0.4612259607787737;0.672316384180791;0.24137931034482757;0.0;0.014412705016499994;0.7506007682268948;0.635593220338983;0.3181818181818182;0.0;0.7359046633569237;0.9364053735852716;0.9085854262919932;0.9154315356668913;0.8694506094291
1891;75.0;120.0;7.90671444;-26.5665283;195.0;1541.8093158;6.432809140000018;7.873782939999728;18.373874959999966;11.792841299999964;-25.56;7.901;194.97256;1540.695;8.289;6.349;19.276;11.375004600000102;;33.62712520483358;10.384615384615383;957.0797173683408;0.0716114874039432;-1.0;1.0;7.0;6.0;-1.1143157999999858;45.0;322.0;3951.0;305.0;2.0;300.0;1532.2643004842148;0.6771926723090183;0.46043618875288483;0.6779661016949152;0.20689655172413793;1.0;0.01421698106993062;0.7532572096222286;0.635593220338983;0.3181818181818182;0.0;0.7389363395744766;0.9401139134250865;0.9085623472966977;0.9144386315182633;0.871460538046666
