Z,N,dz_BE/A,dz_ME,A,dz_BE,dz_S1n,dz_S1p,dz_S2p,dz_S2n,ame_ME,ame_BE/A,ame_AM,ame_BE,ame_S2p,ame_S2n,BE_diff_dz_ame
8,16,6.88079071,22.3153381,24,165.13897704000001,3.1588444600000116,24.275591350000013,46.62116708000002,4.196964160000022,18.500404,7.039685499999999,24.019861,168.952452,18.21045199999999,6.925263600000005,3.8134749599999793
9,15,7.42015696,8.5881958,24,178.08376704,2.764491669999984,16.103634459999995,38.26540571999999,10.347803260000006,7.544516,7.4635831,24.00809937,179.1259944,37.8379944,11.391495599999995,1.0422273599999983
10,14,8.0069418,-6.27697754,24,192.1666032,9.30755959999999,16.847327829999983,31.224590320000004,14.976863879999996,-5.951642,7.9933252,23.993610649,191.83980480000002,22.887352800000023,14.069561600000016,-0.32679840000000127
14,11,7.49795389,3.38275146,25,187.44884725,15.654261009999999,4.898931970000007,6.833012969999999,36.87687498,3.827322,7.4801109,25.004108798,187.0027725,-18.584797500000015,36.260772499999995,-0.4460747500000082
13,12,7.99469233,-8.25335693,25,199.86730825,17.317392970000014,3.0315844900000286,14.359201010000021,31.74181717000002,-8.915974,8.0211366,24.990428308,200.528415,-2.0065325000000014,31.806682499999994,0.6611067499999876
9,16,7.28081226,12.7230377,25,182.0203065,3.936539460000006,16.88132945999999,41.15692081,6.70103112999999,11.334166999999999,7.3363065,25.012167727,183.40766250000001,43.082662500000005,8.093734400000015,1.3873560000000111
12,13,8.20364475,-12.6948242,25,205.09111875000002,8.255394990000042,12.409279710000021,22.232075150000014,24.47528447000002,-13.192782,8.2235028,24.985836966,205.58757,9.592585000000021,23.8617433,0.4964512499999785
10,15,7.82137823,-1.57345581,25,195.53445574999998,3.3678525499999807,17.45068870999998,33.554323169999975,12.675412149999971,-2.035503,7.8397993999999995,24.997814797,195.99498499999999,27.799839999999996,13.024094699999987,0.46052925000000755
11,14,8.12685871,-9.99282837,25,203.17146775,10.489628710000005,11.004864550000008,27.85219237999999,17.663360510000018,-9.357814000000001,8.1013979,24.989953974,202.53494750000002,19.127285000000004,15.970594700000015,-0.6365202499999896
9,17,7.04765368,19.5757294,26,183.23899568,1.2186891799999842,18.70836068,43.141579759999985,5.15522863999999,18.674654999999998,7.0822497,26.020048065,184.1384922,14.288492200000007,5.012497800000012,0.8994965200000138
12,14,8.34830856,-16.5883331,26,217.05602255999997,11.964903809999953,13.884554809999969,24.889419359999977,20.220298799999995,-16.214544,8.3338711,25.982592972,216.6806486,15.130962600000029,18.423601399999985,-0.37537395999999035
14,12,7.93352509,-7.36868286,26,206.27165234,18.822805090000003,6.404344089999995,9.435928580000024,34.4770661,-7.1410029999999995,7.9247083,25.992333818,206.04241580000001,-10.638232799999997,34.02882620000001,-0.22923654000001648
10,16,7.74164248,0.749679565,26,201.28270448,5.748248730000029,19.262397980000003,36.14372743999999,9.11610128000001,0.481114,7.751911,26.000516496,201.54968599999998,32.61523199999999,9.709881199999975,0.26698152000000164
8,18,6.38972759,37.4641571,26,166.13291734,1.6022823400000163,26.653637839999988,51.32916454000002,0.9939402999999913,34.661041,6.497479,26.037210155,168.934454,-18.068318499999993,-0.017997999999992315,2.8015366600000107
13,13,8.17245197,-12.7984161,26,212.48375122,12.61644296999998,7.392632469999967,19.801912179999988,29.933835939999994,-12.210139,8.1497653,25.986891876,211.89389780000002,3.784664000000019,28.303963400000008,-0.5898534199999688
11,15,8.0009594,-6.77490234,26,208.02494439999998,4.853476649999976,12.490488650000003,29.941177359999983,15.343105359999981,-6.86078,8.0042013,25.992634649,208.1092338,23.97074159999998,14.585516999999992,0.08428940000001717
