;Unnamed: 0;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S1p;ame_S1n;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;Difference_BE_DZ_AME;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;rescaled_ame_S1n;rescaled_ame_S1p;rescaled_ame_S2n;rescaled_ame_S2p;BE_Predictions;Difference_BE_AME_ANN;Difference_BE_DZ_ANN;Prediction_S2p;Prediction_S2n;Prediction_S1n;Difference_S2n_AME_Predictions;Difference_S2p_AME_Predictions;Difference_S2n_DZ_Predictions;Difference_S2p_DZ_Predictions
2;31;6.0;12.0;6.3491888;26.3053284;18.0;114.2853984;3.634881930000006;26.230467630000007;48.03208720000001;3.9147318400000017;24.919266;6.4261321;18.02675193;115.6703778;26.0860269;4.183932400000005;47.1058162;4.917504199999995;;6.868285455319991;2.0;11.44714242553332;0.2357022603955158;1.0;1.0;2.0;4.0;1.3849793999999918;6.0;32.206;11806.0982;35.2821;1.6667;30.0;105.93078333423983;0.1304222924446998;0.0055070424488951;0.0677966101694915;0.1379310344827586;1.0;0.1884521158045007;0.1354801656471466;0.0508474576271186;0.0909090909090909;1.0;0.0584806368573326;0.9340449282642213;0.9770185973132784;0.8968784785824613;0.9682355276694706;118.7309348025918;-3.060557002591807;-1.3849793999999918;-71.2370490654707;-16.71235995328425;-11.287390055388215;21.629864153284245;118.34286526547069;20.62709179328425;119.2691362654707
22;58;9.0;10.0;7.87520552;-3.31384277;19.0;149.62890488;10.05854954;8.587600339999995;24.814961489999988;20.64237609;-1.48744512;7.7790192;18.99840316207;147.8013648;7.993598999999987;10.43187539999999;23.935464999999983;19.58178199999998;;7.1203673589019925;0.0526315789473684;26.98244472847072;0.2294157338705617;-1.0;1.0;1.0;2.0;-1.8275400800000057;1.0;0.00088;-3239.4986;0.1601;0.0002;0.00082;151.59378011458514;0.0034321655906499;0.0129808351264339;0.0564971751412429;0.0689655172413793;1.0;0.1817769458597282;0.1412999401475462;0.0762711864406779;0.0454545454545454;0.0;0.073823328483479;0.9515587801887212;0.9074260875818152;0.9367556671090128;0.8876632924515916;143.42381299582124;4.377551804178751;1.8275400800000057;16.612749364852903;13.405488137841218;24.692878193229433;6.1762938621587615;7.32271563514708;7.2368879521587814;8.202212125147085
14;50;8.0;11.0;7.59940529;2.70870972;19.0;144.38870051;3.347395970000008;17.22277643000001;33.73818404000001;11.572050130000008;3.3328580000000003;7.5664952;19.003577969;143.7634088;17.069280199999994;3.955643000000011;32.27696340000001;12.0010141;;7.1203673589019925;0.4736842105263157;20.986345899921663;0.2294157338705617;1.0;-1.0;0.0;3.0;-0.6252917099999991;3.0;2.83;4820.3029;2.637;0.1388;2.637;145.96885047176804;0.0308894903158499;0.0100962050983375;0.0621468926553672;0.1034482758620689;0.0;0.1817769458597282;0.1412999401475462;0.0677966101694915;0.0;1.0;0.0718951862291515;0.9334050013718772;0.9423356882015672;0.916140965529619;0.916669895128998;140.9178827100396;2.8455260899604014;0.6252917099999991;22.69323931932449;22.186947907447802;-2.5059302857816306;-10.185933807447801;9.583724080675516;-10.614897777447794;11.044944720675517
6;39;7.0;12.0;6.94115734;15.9977722;19.0;131.88198946;4.716065380000003;17.596591059999994;43.82705869;7.068046069999994;15.856255;6.9485452;19.017022389;132.02235879999998;16.351980999999984;5.328230199999976;42.43800789999998;8.156458999999987;;7.1203673589019925;1.3157894736842106;15.73975942494125;0.2294157338705617;-1.0;1.0;1.0;4.0;0.1403693399999781;5.0;17.61;12523.3972;16.6143;0.8634;16.404;130.01730019219778;0.0858041397662499;0.0075721538237531;0.0677966101694915;0.1379310344827586;1.0;0.1817769458597282;0.1412999401475462;0.059322033898305;0.0454545454545454;0.0;0.066288781747485;0.937252553914252;0.9395765973911862;0.9056863048491308;0.9520037603970104;131.96054409444332;0.06181470555665669;-0.14036933999997814;-59.69276854518057;-11.463268901377916;-8.957338615596285;19.619727901377903;102.13077644518054;18.53131497137791;103.51982723518057
31;67;11.0;9.0;7.29923105;6.83712769;20.0;145.984621;14.258606909999996;0.5527085800000009;6.414265660000012;35.072600260000016;6.850489;7.2985028;20.007354301;145.970056;2.190537100000016;14.150214399999998;8.60056660000002;34.330139200000005;;7.368062997280773;0.2;40.524346485044255;0.2236067977499789;-1.0;-1.0;3.0;1.0;-0.0145650000000046;-2.0;1.19;-10627.2054;2.1681;0.0554;1.109;149.94580505677644;0.0130422292444699;0.0194956337582631;0.0508474576271186;0.0344827586206896;0.0;0.1756088917444232;0.1470184496462978;0.0932203389830508;0.1363636363636363;0.0;0.0729488702481734;0.9619818007974388;0.8851046145335224;0.9768614962908172;0.834337944455698;144.34034275215865;1.6297132478413516;0.014565000000004602;14.65567591783406;3.4224600421190416;12.379798657715327;30.907679157880963;-6.05510931783404;31.650140217880974;-8.241410257834048
23;59;9.0;11.0;7.73759747;-0.365509033;20.0;154.7519494;5.123044520000008;10.363248889999994;27.586025320000005;15.181594060000007;-0.017463;7.7201351;19.999981252;154.40270200000003;10.639293200000017;6.601337200000038;27.70857340000001;17.033212600000027;;7.368062997280773;0.2;26.525026790210784;0.2236067977499789;-1.0;-1.0;1.0;3.0;-0.3492473999999674;2.0;0.031;7024.4689;0.0297;0.0015;0.03;159.70333088407537;0.0130422292444699;0.012760778459954;0.0621468926553672;0.1034482758620689;0.0;0.1756088917444232;0.1470184496462978;0.0762711864406779;0.0454545454545454;0.0;0.0769754968553939;0.9408212496405168;0.917602748247683;0.9298252349511608;0.9007838435767448;154.8342183831632;-0.43151638316317076;0.34924739999996746;24.815893525183185;22.873674288719883;10.493875631004556;-5.840461688719856;2.8926798748168245;-7.692080228719876;2.7701317948168196
15;51;8.0;12.0;7.56103277;3.94813538;20.0;151.2206554;6.831954889999992;19.33866594;36.93525699999999;10.17935086;3.796172;7.5685707;20.004075357;151.371414;19.3490552;7.608005199999985;35.70103619999999;11.563648199999996;;7.368062997280773;0.8;20.630576392386168;0.2236067977499789;1.0;1.0;0.0;4.0;0.1507585999999889;4.0;0.95;3813.6349;0.8854;0.0442;0.885;149.84076281135913;0.0521689169778799;0.0099250499132975;0.0677966101694915;0.1379310344827586;1.0;0.1756088917444232;0.1470184496462978;0.0677966101694915;0.0;1.0;0.0755280431243884;0.9436430798475356;0.9511048409515444;0.9149516180085712;0.9285767150413669;149.06760164248942;2.303812357510566;-0.15075859999998897;30.336666839897617;4.7272588903307735;-5.766616740673783;6.836389309669222;5.364369360102373;5.452091969669226;6.5985901601023755
7;40;7.0;13.0;6.71872807;21.5765839;20.0;134.3745614;2.492571940000005;19.53127433;45.76960190000001;7.208637320000008;21.766498;6.7091717;20.023367295;134.183434;17.936228000000003;2.1610752000000213;44.60408319999999;7.489305399999997;;7.368062997280773;1.8;15.472932294289626;0.2236067977499789;-1.0;-1.0;1.0;5.0;-0.1911273999999991;6.0;84.696;17970.3261;78.8991;3.9447;78.894;130.1506407477324;0.1173800632002298;0.0074437874349731;0.0734463276836158;0.1724137931034483;0.0;0.1756088917444232;0.1470184496462978;0.059322033898305;0.0454545454545454;0.0;0.0673207049303774;0.9283745786043078;0.945670402234512;0.9038720859529662;0.9595360384822575;136.17483341941238;-1.9913994194123745;0.19112739999999917;-72.4151502354145;-18.659384963750824;-12.892768223077042;26.14869036375082;117.01923343541449;25.868022283750832;118.18475213541451
45;81;12.0;9.0;7.10688543;10.8661804;21.0;149.24459403;15.694226630000005;3.2599730299999976;3.81268161;38.7102345;10.903851;7.1050317;21.011705764;149.2056657;3.235609699999972;14.645161699999967;5.426146799999987;37.07718089999998;;7.611662611020244;0.4285714285714285;47.84473641212726;0.2182178902359924;1.0;-1.0;4.0;1.0;-0.0389283300000045;-3.0;0.81;-16186.0;600.0;0.0359;0.755;150.8139862185828;0.0279476340952928;0.0230173596678655;0.0508474576271186;0.0344827586206896;0.0;0.1698868330957032;0.152642394880776;0.1016949152542373;0.1818181818181818;1.0;0.0744938885151089;0.9633692068161286;0.8891244854700031;0.9843316425370372;0.8232992641785559;148.49814862942696;0.7075170705730329;0.03892833000000451;13.616068416893484;-0.5694530130624571;12.323315210014584;37.64663391306244;-8.189921616893496;39.279687513062456;-9.803386806893483
32;68;11.0;10.0;7.7463541;-1.78030396;21.0;162.6734361;16.6888151;1.818180899999988;13.04453122000001;30.94742201;-2.184857;7.7655581;20.997654459;163.07672010000002;2.4318960999999835;17.106664099999996;15.275355300000024;31.256878499999992;;7.611662611020244;0.0476190476190476;39.87061367677272;0.2182178902359924;-1.0;1.0;3.0;2.0;0.4032840000000135;-1.0;0.045;-13088.708;0.7557;0.002;0.042;165.2424259556011;0.0031052926772547;0.0191811330565546;0.0564971751412429;0.0689655172413793;1.0;0.1698868330957032;0.152642394880776;0.0932203389830508;0.1363636363636363;0.0;0.0811173797321295;0.970269139889366;0.8860330017377779;0.9685042489720884;0.8575487555704661;160.76654070797562;2.310179392024395;-0.4032840000000135;25.32324595209957;24.591707288563242;12.268392078548658;6.66517121143675;-10.047890652099545;6.355714721436758;-12.278714732099559
